horizon_s,prevalence,constant_negative_accuracy
0.5,0.03715350570696482,0.9628464942930351
1.0,0.06790123456790123,0.9320987654320988
2.0,0.12578616352201258,0.8742138364779874
3.0,0.1762170976007454,0.8237829023992547
5.0,0.2612392266480317,0.7387607733519683
