protocol,learner,horizon_s,auprc,lift,auroc,ece
blocked_purged,gru,0.5,0.14355356722740528,3.865596057941729,0.8243645224902965,0.027888192963267097
blocked_purged,gru,1.0,0.2441921212740977,3.5979593854965684,0.8227799067753966,0.04280805376827786
blocked_purged,gru,2.0,0.30724075704770715,2.4414413534133246,0.778058990327857,0.05260238849728155
blocked_purged,gru,3.0,0.3656601793798768,2.0746505553983763,0.759230622537119,0.05904875145108375
blocked_purged,gru,5.0,0.4663569020752276,1.7852075707781663,0.7428740885805086,0.06209170963350637
blocked_purged,lgbm,0.5,0.3567371444055422,9.606182039008175,0.9113364202479058,0.012835249665300232
blocked_purged,lgbm,1.0,0.6169512218295855,9.090241844796122,0.9154832574670406,0.014689478708164687
blocked_purged,lgbm,2.0,0.5400023905855453,4.291045823431854,0.8520664297303098,0.034736702861217494
blocked_purged,lgbm,3.0,0.54641281302695,3.1001889457737786,0.8229928742452516,0.05227811177709198
blocked_purged,lgbm,5.0,0.592505794485245,2.268103732009026,0.7931856523373181,0.07432271586848839
blocked_purged,lr,0.5,0.2549666825530129,6.865717251192417,0.8781469719520824,0.011321940324852736
blocked_purged,lr,1.0,0.43880226638331793,6.465371300570671,0.8814551418452252,0.02236228407900212
blocked_purged,lr,2.0,0.45762327830811406,3.6364328960839045,0.8310890329692558,0.020246351649576222
blocked_purged,lr,3.0,0.4943158105794973,2.8046055567225108,0.8078127788651314,0.027150708886855224
blocked_purged,lr,5.0,0.5601532098504632,2.144258499383012,0.7828372245096075,0.03289014922614861
chunk_grouped,gru,0.5,0.19881861484568858,5.353767716377633,0.851785746095528,0.019994076538280225
chunk_grouped,gru,1.0,0.32781030808342804,4.830000937284128,0.8451150483464189,0.03347078078839498
chunk_grouped,gru,2.0,0.3668355747649713,2.915002393368274,0.8019221214530229,0.042853726656528514
chunk_grouped,gru,3.0,0.4181069194561534,2.372218255038545,0.7841330220747305,0.05113273704634834
chunk_grouped,gru,5.0,0.513722898439,1.966523929407758,0.7699860622127543,0.057885715629085815
chunk_grouped,lgbm,0.5,0.3942112157824362,10.615280073890679,0.9214879650885804,0.01308295657693726
chunk_grouped,lgbm,1.0,0.647630551963161,9.542275199594432,0.9206468353912453,0.014922690660029714
chunk_grouped,lgbm,2.0,0.5608287435001987,4.456539229108888,0.8559045621767396,0.028146042060145676
chunk_grouped,lgbm,3.0,0.5662570593522437,3.2127794846999813,0.8276272160171296,0.04200938792530662
chunk_grouped,lgbm,5.0,0.6087399746973339,2.330247942357441,0.7961365242121067,0.06859495679441857
chunk_grouped,lr,0.5,0.26182880254035285,7.050499729848373,0.8857836554733481,0.01111125161950075
chunk_grouped,lr,1.0,0.4452099393102202,6.559782810762935,0.8842991370543913,0.022890060715695115
chunk_grouped,lr,2.0,0.46155532069329636,3.667678265268655,0.8341898448349799,0.022801555975000488
chunk_grouped,lr,3.0,0.49950450388390405,2.834044708297712,0.8116763794186239,0.028771172225996944
chunk_grouped,lr,5.0,0.5664445754282852,2.1683417570984713,0.7867230638638287,0.0383921552784163
loco,gru,0.5,0.21189450037188495,5.705873850139474,0.8505810610703486,0.02255423424268907
