arm,capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
independent,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.1122612451547654,2.2431650637346703,0.7277415406990924,0.042559492138284055,0.049039006249805485
independent,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18414524143515393,2.2036721749767323,0.7481886850624326,0.05551575582253726,0.07775291434682806
independent,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.3023068625014206,1.9713303788266285,0.7300193539168951,0.08767913427651394,0.13050821921754288
independent,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.37516177527048433,1.7686197977037117,0.7208927436200163,0.10295227770619166,0.1682735583766807
independent,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.4745273621133026,1.519883227474666,0.6942629388203879,0.15296541066519387,0.223084853374923
independent,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12914812374517676,3.0430526657457273,0.7963411819021237,0.033342723679564854,0.041122626440032305
independent,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.22652316517377658,2.8466411090171255,0.7745010139822821,0.049469484278600054,0.07096184336393316
independent,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3332302068288872,2.2841415995361904,0.7559445385532341,0.06746828632800286,0.11816064304745977
independent,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.3933274624046852,1.9683776990252164,0.7402043709969197,0.08568878091984676,0.15307173778048386
independent,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5098700861128954,1.7908790912847352,0.7390997243740834,0.11553923058825179,0.1937795204184908
independent,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.09792266234087013,2.6621099000986996,0.7688677411347412,0.03330681844465561,0.03627412154769249
independent,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.1701352735395853,2.626409850822141,0.7581013315795825,0.04922806474170802,0.061133946721468546
independent,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.27900034002844937,2.310213058133144,0.7421999039988185,0.08090131807009077,0.10641300679681213
independent,13 Sept (dense urban),3.0,3072,0.1708984375,0.3680284709425017,2.153492309972124,0.7372094153719596,0.10642398890198024,0.14030701673956214
independent,13 Sept (dense urban),5.0,3072,0.2548828125,0.47027682161497875,1.8450707484051274,0.7212890569423313,0.14559194104370718,0.19165667802606376
independent,15 Sept (highway),0.5,2205,0.022222222222222223,0.04025892520411633,1.8116516341852347,0.7123641664457991,0.021238308472203177,0.022756378537132402
independent,15 Sept (highway),1.0,2205,0.050793650793650794,0.11107636589861523,2.1868159536289875,0.7311958228107297,0.03647943021462251,0.04982008000931299
independent,15 Sept (highway),2.0,2205,0.09523809523809523,0.20429785698041933,2.145127498294403,0.7354744002864304,0.05556282608400499,0.0908926393632628
independent,15 Sept (highway),3.0,2205,0.1360544217687075,0.27811666081055986,2.0441574569576146,0.7276272965879265,0.0808308318659666,0.12408707552232455
independent,15 Sept (highway),5.0,2205,0.20770975056689342,0.3926586580680664,1.8904199586028088,0.7153060892909366,0.1470208629843417,0.18712179008657454
independent + cumulative max,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.1122612451547654,2.2431650637346703,0.7277415406990924,0.042559492138284055,0.049039006249805485
independent + cumulative max,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18300431372497758,2.1900186554560506,0.7470242683168534,0.05532148656951028,0.07778758145276735
independent + cumulative max,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.30325169192694185,1.9774915719068242,0.7318508319586425,0.08805564121811559,0.13027379359027608
independent + cumulative max,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.38014227636545433,1.7920993028657133,0.7226334271788817,0.10156697052120489,0.1676284517038894
independent + cumulative max,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.48009409003905856,1.5377131295662787,0.6995533260032984,0.14979891768106315,0.22093435364908562
independent + cumulative max,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12914812374517676,3.0430526657457273,0.7963411819021237,0.033342723679564854,0.041122626440032305
independent + cumulative max,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.2314917894513101,2.9090801541047973,0.7772227558971074,0.04890191348756205,0.07066777043187425
independent + cumulative max,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.330610212069209,2.2661827263653054,0.7563648911474999,0.06675933240771556,0.11844222234297888
independent + cumulative max,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.3946849668227891,1.9751712277724534,0.7428103456705618,0.08689813667229097,0.15291937062222213
independent + cumulative max,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5176356411499626,1.81815500043667,0.7415527182550345,0.12212940520882497,0.19336651699586177
independent + cumulative max,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.09792266234087013,2.6621099000986996,0.7688677411347412,0.03330681844465561,0.03627412154769249
independent + cumulative max,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.1697427394804688,2.6203502295678405,0.7582622475412215,0.04891205873220061,0.06112132687075786
independent + cumulative max,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.27886964844362144,2.309130889538558,0.7430002464895202,0.08320547285393529,0.1062818195978893
independent + cumulative max,13 Sept (dense urban),3.0,3072,0.1708984375,0.3712595776967547,2.172398900351296,0.7393594705255483,0.10240614361333752,0.1393204961934028
independent + cumulative max,13 Sept (dense urban),5.0,3072,0.2548828125,0.4696877901147416,1.8427597589176068,0.7235202844187343,0.14679651951851072,0.19064546229372223
independent + cumulative max,15 Sept (highway),0.5,2205,0.022222222222222223,0.04025892520411633,1.8116516341852347,0.7123641664457991,0.021238308472203177,0.022756378537132402
