learner,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier,auprc_ci_low,auprc_ci_high
Event A3 rule (deployed parameters),0.5,8586,0.03715350570696482,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674,0.32400530620994816,0.05762300440723139,0.0815368345216841
Event A3 rule (deployed parameters),1.0,8586,0.06790123456790123,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183,0.3162006476154253,0.10336292271723309,0.1320487260344734
Event A3 rule (deployed parameters),2.0,8586,0.12578616352201258,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075,0.3058988866336251,0.18086955493192525,0.23003217585459182
Event A3 rule (deployed parameters),3.0,8586,0.1762170976007454,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504,0.30184846936193943,0.24196073199555573,0.30551780417814767
Event A3 rule (deployed parameters),5.0,8586,0.2612392266480317,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989,0.3036042252176912,0.33212578536361403,0.41762405754551896
Logistic regression,0.5,8586,0.03715350570696482,0.07236238570606422,1.9476596980321863,0.6653977573712456,0.1139473200081913,0.05056712475688805,0.058213685245214135,0.0942322012915813
Logistic regression,1.0,8586,0.06790123456790123,0.13009786452368438,1.9159867320760793,0.6711211854731148,0.20292890745913075,0.1085947598632103,0.11439713851083515,0.15152775765434584
Logistic regression,2.0,8586,0.12578616352201258,0.2243433865861694,1.7835299233600468,0.6718628800663172,0.25857958544668563,0.17855796185743258,0.19660939277894107,0.26168974376678494
Logistic regression,3.0,8586,0.1762170976007454,0.29949265944372505,1.6995664071274446,0.6729081267405937,0.2991841869609049,0.23311947811871905,0.26271728594616695,0.3476732579261798
Logistic regression,5.0,8586,0.2612392266480317,0.4169189085629965,1.595927663362411,0.6760437942444514,0.3073992235973877,0.27756476693896,0.36957505488792836,0.47107907328362897
LightGBM,0.5,8586,0.03715350570696482,0.10348296132073766,2.7852812097174096,0.7767924212783917,0.006010239323391602,0.03451239320528564,0.0857563586109337,0.1334754343163701
