capture,config_updates,measid_removals,interfreq_swaps,config_resets,reports,resolved_share,a3_share,agreement_with_v1
10 Sept (urban arterial),1082,5212,59,21,5695,0.9815627743634767,0.4015803336259877,0.8217734855136084
12 Sept (urban loop),831,3173,29,1,4761,0.9760554505356017,0.39004410838059234,0.8191556395715186
13 Sept (dense urban),1057,3944,63,20,5010,0.9832335329341317,0.4421157684630739,0.8143712574850299
15 Sept (highway),592,2771,36,14,3923,0.9829212337496813,0.45296966607188377,0.8350751975528932
