variant,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
rf+mobility,2,2.0,8586,0.12578616352201258,0.25616379360863084,2.036502159188615,0.7318129447059635,0.05823226208792878,0.1084487776351518
rf+mobility,2,3.0,8586,0.1762170976007454,0.3244614052653487,1.8412595013934463,0.7214896786407149,0.07988827404326224,0.14600457651084645
rf+mobility,2,5.0,8586,0.2612392266480317,0.4256556692294365,1.6293711885884716,0.7103859615730239,0.11782293056700516,0.19705791160075417
rf+mobility+history (main),0,0.5,8586,0.03715350570696482,0.08647456463127275,2.3274940812667957,0.7445624538094392,0.020506637410583183,0.03593332344161437
rf+mobility+history (main),0,1.0,8586,0.06790123456790123,0.15825286488044005,2.3306331009664807,0.7475618598428677,0.03232754096810677,0.06278302800785376
rf+mobility+history (main),0,2.0,8586,0.12578616352201258,0.25693227189435425,2.042611561560116,0.7368787685900662,0.05361301604187296,0.10936098573966833
rf+mobility+history (main),0,3.0,8586,0.1762170976007454,0.33367032784737766,1.8935184632502213,0.7297704264160862,0.07611517472317404,0.14506017282477388
rf+mobility+history (main),0,5.0,8586,0.2612392266480317,0.44260475730936794,1.6942507562453113,0.7200285871949863,0.11156914648216708,0.19333093323530443
rf+mobility+history (main),1,0.5,8586,0.03715350570696482,0.0866741497783282,2.3328659874505515,0.7475178913177103,0.021669160824386906,0.0357998731690304
rf+mobility+history (main),1,1.0,8586,0.06790123456790123,0.16135137434232116,2.3762656948596392,0.7545262293363831,0.03352080793229137,0.062380335655333484
rf+mobility+history (main),1,2.0,8586,0.12578616352201258,0.2669416111130697,2.122185808348904,0.7418183354550928,0.05236135839701404,0.10695141642404322
rf+mobility+history (main),1,3.0,8586,0.1762170976007454,0.3414151623926555,1.9374689916082886,0.7301602801639293,0.07476513054134803,0.1419533221717626
rf+mobility+history (main),1,5.0,8586,0.2612392266480317,0.45257494822028693,1.732415740267224,0.7199213992712205,0.10808138407617285,0.19005484382286514
rf+mobility+history (main),2,0.5,8586,0.03715350570696482,0.0845141981670582,2.2747301111672784,0.7395620234243259,0.020647982730240676,0.03583411179662691
rf+mobility+history (main),2,1.0,8586,0.06790123456790123,0.15929557597494087,2.3459893916309476,0.7473818244401917,0.03241183204366854,0.062472239228322936
rf+mobility+history (main),2,2.0,8586,0.12578616352201258,0.25341496385500056,2.0146489626472546,0.7344917892846216,0.05664088640922271,0.10894824646876342
rf+mobility+history (main),2,3.0,8586,0.1762170976007454,0.32844015642276714,1.8638381910415591,0.7246108447556961,0.08018845475456038,0.14572879326311203
rf+mobility+history (main),2,5.0,8586,0.2612392266480317,0.44083247345039867,1.6874666148217223,0.7166385670303019,0.11826386507458606,0.19502069482698398
history only,0,0.5,8586,0.03715350570696482,0.05234903115963152,1.4089930455692674,0.6046599900727028,0.02023929390503028,0.03687078428280532
history only,0,1.0,8586,0.06790123456790123,0.08882816761159663,1.3081966502798779,0.588255283342503,0.03899655780471553,0.06665351619211483
history only,0,2.0,8586,0.12578616352201258,0.15829259571830653,1.2584261359605369,0.5852386609231134,0.07180610898478648,0.1197404487824694
history only,0,3.0,8586,0.1762170976007454,0.22084781692591426,1.2532712201757437,0.5855551430465165,0.09789621922119848,0.16165149081760494
history only,0,5.0,8586,0.2612392266480317,0.3218065541275399,1.2318462210160757,0.5883672003828682,0.12650233566643043,0.2178260879054006
history only,1,0.5,8586,0.03715350570696482,0.05187573462608368,1.396254098744685,0.6037010086179405,0.021395395761578832,0.036908451764351626
history only,1,1.0,8586,0.06790123456790123,0.08930988383369927,1.3152910164599347,0.5884083134347775,0.03894450454152534,0.06666433478240144
history only,1,2.0,8586,0.12578616352201258,0.1625180356121672,1.2920183831167293,0.5879521691288945,0.06718410055494517,0.11905850421632728
history only,1,3.0,8586,0.1762170976007454,0.22712900225967195,1.2889158052885283,0.5876365434251005,0.09350508102578198,0.16036622212546875
history only,1,5.0,8586,0.2612392266480317,0.32785880794041966,1.2550136981615887,0.5886942114093076,0.128120728394807,0.2166241089090349
history only,2,0.5,8586,0.03715350570696482,0.051482303791541256,1.3856647660005432,0.600905780546062,0.022770010466336373,0.036911568675483564
