block_length_s,n_blocks,auprc_1s_random_blocks,auprc_1s_loco,inflation_vs_loco_%
60,171,0.18438391836232138,0.15684029273020644,17.56157499622557
120,86,0.169588817751741,0.15684029273020644,8.128348142950937
180,57,0.1812629742935017,0.15684029273020644,15.571688332223822
240,44,0.16611241500000135,0.15684029273020644,5.91182412911242
300,35,0.16821026652566004,0.15684029273020644,7.249395928514368
