protocol,learner,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
random_row,a3,0,0.5,8586,0.03715350570696482,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674,0.32400530620994816
random_row,a3,0,1.0,8586,0.06790123456790123,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183,0.3162006476154253
random_row,a3,0,2.0,8586,0.12578616352201258,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075,0.3058988866336251
random_row,a3,0,3.0,8586,0.1762170976007454,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504,0.30184846936193943
random_row,a3,0,5.0,8586,0.2612392266480317,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989,0.3036042252176912
random_row,lr,0,0.5,8586,0.03715350570696482,0.1097483697731131,2.953916936902662,0.7915878101284974,0.008053195459063014,0.03440917360893659
random_row,lr,0,1.0,8586,0.06790123456790123,0.17891309659382093,2.6349019680180903,0.7790140446903595,0.011973453363768897,0.05960449355135646
random_row,lr,0,2.0,8586,0.12578616352201258,0.2996040283178856,2.3818520251271904,0.774348299138467,0.017604392936742676,0.0988641862681026
random_row,lr,0,3.0,8586,0.1762170976007454,0.3896532204629591,2.211211203499648,0.7712162156732234,0.019112297232228743,0.12619128851420908
random_row,lr,0,5.0,8586,0.2612392266480317,0.5136082380035298,1.966045622602901,0.7668952241208113,0.019258382471098717,0.16085893544861332
random_row,lr,1,0.5,8586,0.03715350570696482,0.1097483697731131,2.953916936902662,0.7915878101284974,0.008053195459063014,0.03440917360893659
random_row,lr,1,1.0,8586,0.06790123456790123,0.17891309659382093,2.6349019680180903,0.7790140446903595,0.011973453363768897,0.05960449355135646
random_row,lr,1,2.0,8586,0.12578616352201258,0.2996040283178856,2.3818520251271904,0.774348299138467,0.017604392936742676,0.0988641862681026
random_row,lr,1,3.0,8586,0.1762170976007454,0.3896532204629591,2.211211203499648,0.7712162156732234,0.019112297232228743,0.12619128851420908
random_row,lr,1,5.0,8586,0.2612392266480317,0.5136082380035298,1.966045622602901,0.7668952241208113,0.019258382471098717,0.16085893544861332
random_row,lr,2,0.5,8586,0.03715350570696482,0.1097483697731131,2.953916936902662,0.7915878101284974,0.008053195459063014,0.03440917360893659
random_row,lr,2,1.0,8586,0.06790123456790123,0.17891309659382093,2.6349019680180903,0.7790140446903595,0.011973453363768897,0.05960449355135646
random_row,lr,2,2.0,8586,0.12578616352201258,0.2996040283178856,2.3818520251271904,0.774348299138467,0.017604392936742676,0.0988641862681026
random_row,lr,2,3.0,8586,0.1762170976007454,0.3896532204629591,2.211211203499648,0.7712162156732234,0.019112297232228743,0.12619128851420908
random_row,lr,2,5.0,8586,0.2612392266480317,0.5136082380035298,1.966045622602901,0.7668952241208113,0.019258382471098717,0.16085893544861332
random_row,lgbm,0,0.5,8586,0.03715350570696482,0.1334075151006748,3.590711362552959,0.8405531226051534,0.016420680412593914,0.03444195505806179
random_row,lgbm,0,1.0,8586,0.06790123456790123,0.23706620372973689,3.4913386367470345,0.8473621277098276,0.024759775942115984,0.05797223762893701
random_row,lgbm,0,2.0,8586,0.12578616352201258,0.48362674095734576,3.8448325906108987,0.885618665561378,0.028993281928361144,0.08315374471116666
random_row,lgbm,0,3.0,8586,0.1762170976007454,0.6475176248230146,3.6745448292996716,0.9065778849200702,0.030949848891392896,0.09186124877788489
random_row,lgbm,0,5.0,8586,0.2612392266480317,0.8064045113463733,3.0868431272492023,0.9242897605168748,0.03788427705321397,0.09760245048562911
random_row,lgbm,1,0.5,8586,0.03715350570696482,0.13325531752095646,3.586614909827374,0.8411450443334587,0.017325666354259688,0.03446417807120299
random_row,lgbm,1,1.0,8586,0.06790123456790123,0.2328337360350357,3.429005930697799,0.8493290144840624,0.02509972776517947,0.05818153674897945
random_row,lgbm,1,2.0,8586,0.12578616352201258,0.48913576683463234,3.888629346335327,0.8880252588053014,0.03132654333278453,0.08288679079641312
random_row,lgbm,1,3.0,8586,0.1762170976007454,0.650830995042041,3.693347603060783,0.9074498229165041,0.034415537700592885,0.09182582992504962
random_row,lgbm,1,5.0,8586,0.2612392266480317,0.8082281188044299,3.093823730742236,0.9254282016980112,0.0397941957818924,0.09721332523196326
random_row,lgbm,2,0.5,8586,0.03715350570696482,0.13767825388012014,3.7056598364097546,0.8427107360798856,0.01681524413862175,0.034324299644152206
random_row,lgbm,2,1.0,8586,0.06790123456790123,0.23821062919230454,3.5081929026503036,0.8489532977449066,0.02509961277419251,0.057935531921198394
random_row,lgbm,2,2.0,8586,0.12578616352201258,0.4765276032364695,3.7883944457299323,0.8855493383071321,0.029769162020414942,0.08349762067200428
random_row,lgbm,2,3.0,8586,0.1762170976007454,0.6427642325812781,3.647570192295343,0.906202047965654,0.031790826585691684,0.09223533237980533
random_row,lgbm,2,5.0,8586,0.2612392266480317,0.7997270016321449,3.0612822273801146,0.9240719405983504,0.039661297031226825,0.098310084105864
random_row,mlp,0,0.5,8586,0.03715350570696482,0.09302779376679624,2.5038766058987854,0.7561441740833839,0.015939543540382326,0.035582926239795316
