horizon_s,events,resolvable,detected,fa,hours,km,lead_median_s,detection_rate,grid_ceiling,false_alarms_per_hour,false_alarms_per_km
0.5,934,319,203,662,2.385,78.3125,0.25324999999997644,0.21734475374732334,0.341541755888651,277.5681341719078,8.453312051077415
1.0,935,604,318,427,2.385,78.3125,0.46725000000000705,0.34010695187165774,0.6459893048128342,179.0356394129979,5.4525139664804465
2.0,935,699,314,296,2.385,78.3125,1.2422500000000412,0.3358288770053476,0.7475935828877005,124.10901467505242,3.779728651237031
3.0,936,826,344,219,2.385,78.3125,1.9647499999999525,0.36752136752136755,0.8824786324786325,91.82389937106919,2.796488427773344
5.0,937,893,398,166,2.385,78.3125,3.3100000000000023,0.4247598719316969,0.9530416221985059,69.60167714884696,2.119712689545092
