burst_cutoff_s,stratum,n_rows,prevalence,auprc_1s,lift_1s
5.0,in burst,1513,0.13086582947785855,0.19352160900217125,1.4787787596984097
5.0,quiet,7073,0.05443234836702955,0.13992017391799674,2.5705334808363403
10.0,in burst,3068,0.11245110821382008,0.19348876844404223,1.720647946627019
10.0,quiet,5518,0.04313156940920623,0.11301167563300506,2.620161454382025
15.0,in burst,4126,0.0979156568104702,0.1799558008946217,1.8378654319089336
15.0,quiet,4460,0.040134529147982066,0.11227975978597679,2.7975850762316004
20.0,in burst,4883,0.09379479827974606,0.17455289077891153,1.8610082219943778
20.0,quiet,3703,0.033756413718606534,0.10780842858269171,3.1937168883336593
