episode set,episodes,episodes with a command within 2 s,episodes owning a command (one-to-one),episodes owning two or more commands,commands owned in total,commands claimed more than once,inflation factor
A3 episodes,2361,1647,635,14,650,1012,2.59
all episodes,9819,4391,908,18,927,3483,4.84
