horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
3.0,0.2,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.054,0.7020408163265306,0.07666666666666666,0.08693990177618109,0.8571428571428571,177,False,-inf,,,,0.0903954802259887,0.16666666666666666
3.0,0.3,15 Sept (highway),12 Sept (urban loop),8,0.1111111111111111,True,0.111,0.563265306122449,0.17333333333333334,0.15732101683275257,0.7857142857142857,177,True,0.094,0.5954648526077098,0.15254237288135594,0.1558676141672093,0.0903954802259887,0.16666666666666666
1.0,0.05,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.3446327683615819,0.30976430976430974
1.0,0.1,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.001,0.9192743764172335,0.017857142857142856,0.02040816326530612,0.9285714285714286,177,False,-inf,,,,0.3446327683615819,0.30976430976430974
1.0,0.15,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.002,0.8340136054421768,0.026785714285714284,0.02460984393757503,0.9285714285714286,177,False,-inf,,,,0.3446327683615819,0.30976430976430974
1.0,0.2,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.003,0.7600907029478458,0.03571428571428571,0.03481392557022809,0.9285714285714286,177,False,-inf,,,,0.3446327683615819,0.30976430976430974
1.0,0.3,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.007,0.600453514739229,0.05357142857142857,0.044337735094037614,0.9285714285714286,177,True,0.0,1.0,0.3446327683615819,0.3131091355787712,0.3446327683615819,0.30976430976430974
3.0,0.05,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.0903954802259887,0.10101010101010101
3.0,0.1,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.003,0.9659863945578231,0.013333333333333334,0.023015873015873014,0.9285714285714286,177,False,-inf,,,,0.0903954802259887,0.10101010101010101
3.0,0.15,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.008,0.8748299319727891,0.03333333333333333,0.04297385620915033,0.8571428571428571,177,True,0.005,0.9283446712018141,0.096045197740113,0.08115914674619128,0.0903954802259887,0.10101010101010101
3.0,0.2,15 Sept (highway),13 Sept (dense urban),20,0.047619047619047616,True,0.013000000000000001,0.819047619047619,0.05333333333333334,0.060813449048743175,0.8571428571428571,177,True,0.016,0.7891156462585034,0.10734463276836158,0.09825316384020837,0.0903954802259887,0.10101010101010101
