arm,learner,columns_lagged,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
none,LightGBM,0,0,0.5,8586,0.03715350570696482,0.3613255695601311,9.725207963145097,0.9100840179995776,0.015115935712058265,0.029280192151818988
none,LightGBM,0,0,1.0,8586,0.06790123456790123,0.6064638357989135,8.931558309038545,0.9121542971985848,0.0164549056770667,0.040339345097140294
none,LightGBM,0,0,2.0,8586,0.12578616352201258,0.5195271162113392,4.130240573880147,0.8378935123506133,0.03324844574094363,0.08464477069399479
none,LightGBM,0,0,3.0,8586,0.1762170976007454,0.5214474145654435,2.9591193003693976,0.8063744451802741,0.05788500708072684,0.12020771877045333
none,LightGBM,0,0,5.0,8586,0.2612392266480317,0.5637388529307343,2.15794105718381,0.7723164027254832,0.09475146116055112,0.17089013257946312
none,LightGBM,0,1,0.5,8586,0.03715350570696482,0.3523761342937844,9.484330686665935,0.9092410698880962,0.014669639293389429,0.029368637250373125
none,LightGBM,0,1,1.0,8586,0.06790123456790123,0.6052243273040449,8.913303729386843,0.9093093091805838,0.0156586692292344,0.040114265582368004
none,LightGBM,0,1,2.0,8586,0.12578616352201258,0.5229795551177832,4.1576874631863765,0.8381171605925137,0.03533703015957236,0.08419402274514945
none,LightGBM,0,1,3.0,8586,0.1762170976007454,0.5196071734346009,2.9486762664305908,0.804325750653019,0.06141447063985287,0.12094116376205738
none,LightGBM,0,1,5.0,8586,0.2612392266480317,0.554546858840271,2.122754939813895,0.7684473755441017,0.09771205964637099,0.1739226111289911
none,LightGBM,0,2,0.5,8586,0.03715350570696482,0.3515570020310747,9.462283446516638,0.9084671350722915,0.013867686136604508,0.029445712172174808
none,LightGBM,0,2,1.0,8586,0.06790123456790123,0.6085216985540274,8.961865015068403,0.9111276667476111,0.015002671713279875,0.04002169725195437
none,LightGBM,0,2,2.0,8586,0.12578616352201258,0.5209828958481925,4.14181402199313,0.8355123308760399,0.03385134283807654,0.08442958965908985
none,LightGBM,0,2,3.0,8586,0.1762170976007454,0.5202618018984148,2.9523911639787106,0.8031803917394738,0.058626855836863105,0.12081100362496387
none,LightGBM,0,2,5.0,8586,0.2612392266480317,0.5572059312416079,2.1329336271245856,0.767497655395956,0.10377383136984442,0.17463028893831012
none,Event A3 rule (deployed parameters),0,0,0.5,8586,0.03715350570696482,0.06212529080975639,1.6721245984093052,0.6731754041164535,0.3560963205277514,0.32595976006327015
none,Event A3 rule (deployed parameters),0,0,1.0,8586,0.06790123456790123,0.1168249856763512,1.7205134254153542,0.6823762915664774,0.3414212681168499,0.3177620328691608
none,Event A3 rule (deployed parameters),0,0,2.0,8586,0.12578616352201258,0.2157122267816471,1.7149122029140944,0.6936226327579911,0.3168463787620863,0.30242966703445423
none,Event A3 rule (deployed parameters),0,0,3.0,8586,0.1762170976007454,0.28778838231678383,1.6331467617791844,0.6911146798905456,0.300424296302268,0.2952837345519441
none,Event A3 rule (deployed parameters),0,0,5.0,8586,0.2612392266480317,0.3917984059285778,1.4997686639780512,0.6804707609267192,0.28301846754640125,0.29529945828363746
neighbour,LightGBM,31,0,0.5,8586,0.03715350570696482,0.3272725783319222,8.80865942808114,0.9034363691725951,0.014293349848280122,0.03000684975123944
neighbour,LightGBM,31,0,1.0,8586,0.06790123456790123,0.5916179245694541,8.712918525477415,0.9066203518449021,0.014711172323949523,0.04102230694147193
neighbour,LightGBM,31,0,2.0,8586,0.12578616352201258,0.5113035860798353,4.064863509334691,0.832928842111496,0.03336600587281908,0.08534192543646711
neighbour,LightGBM,31,0,3.0,8586,0.1762170976007454,0.5076061872438146,2.8805728510742843,0.7980835118683461,0.062005687362966896,0.12281463404825392
neighbour,LightGBM,31,0,5.0,8586,0.2612392266480317,0.549960574801611,2.1051990616347,0.7645956390048491,0.10110081674497691,0.17562475130667926
neighbour,LightGBM,31,1,0.5,8586,0.03715350570696482,0.3356677649513123,9.034618902419961,0.9010205246299731,0.01530531024377892,0.02997453894023483
neighbour,LightGBM,31,1,1.0,8586,0.06790123456790123,0.5940898384490034,8.74932307533987,0.9037468582214774,0.016355267232421384,0.040970294921781
neighbour,LightGBM,31,1,2.0,8586,0.12578616352201258,0.5094799977426256,4.050365982053874,0.830523112374298,0.03612636324106286,0.08572669657052907
neighbour,LightGBM,31,1,3.0,8586,0.1762170976007454,0.5070538646242507,2.8774385205973676,0.7971021027152491,0.05996114569115833,0.1229271835236407
neighbour,LightGBM,31,1,5.0,8586,0.2612392266480317,0.5464329824096535,2.091695758791478,0.7631709182083043,0.10095159487716773,0.1762719808891079
neighbour,LightGBM,31,2,0.5,8586,0.03715350570696482,0.3382896684623849,9.105188380620806,0.9028706118256179,0.014353100310711419,0.029700897182285906
neighbour,LightGBM,31,2,1.0,8586,0.06790123456790123,0.600465617526587,8.843220912664282,0.9044618559635335,0.015462560704182591,0.040513472117919905
neighbour,LightGBM,31,2,2.0,8586,0.12578616352201258,0.5166639446911233,4.10747836029443,0.8308047389249096,0.03547625809013156,0.08489087530965762
neighbour,LightGBM,31,2,3.0,8586,0.1762170976007454,0.5155522111238893,2.9256650923395333,0.7962884278568257,0.05938099336229305,0.12195566846091327
neighbour,LightGBM,31,2,5.0,8586,0.2612392266480317,0.5546194927559587,2.1230329758371207,0.7643402154540526,0.09892181326708192,0.17507932190495273
neighbour,Event A3 rule (deployed parameters),31,0,0.5,8586,0.03715350570696482,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674,0.32400530620994816
neighbour,Event A3 rule (deployed parameters),31,0,1.0,8586,0.06790123456790123,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183,0.3162006476154253
neighbour,Event A3 rule (deployed parameters),31,0,2.0,8586,0.12578616352201258,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075,0.3058988866336251
neighbour,Event A3 rule (deployed parameters),31,0,3.0,8586,0.1762170976007454,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504,0.30184846936193943
neighbour,Event A3 rule (deployed parameters),31,0,5.0,8586,0.2612392266480317,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989,0.3036042252176912
serving,LightGBM,56,0,0.5,8586,0.03715350570696482,0.09862887444663343,2.6546317115949676,0.7626666889127108,0.02214748343453945,0.03547254136966256
serving,LightGBM,56,0,1.0,8586,0.06790123456790123,0.1816060591727018,2.674561962361609,0.7664274267647059,0.03563032092482532,0.06167987324271815
