case,campaign,score,threshold,time to next command (s),time since previous command (s),serving RSRP (dBm),serving SINR (dB),gap to best neighbour (dB),speed (km/h),A3 reports in previous 2 s
true positive,1st Campaign,0.3026233912661459,0.19384607689540506,0.023999999999887223,8.496000000000095,-80.0,-2.0,4.0,40.0,1.0
true positive,1st Campaign,0.22481249427180394,0.19384607689540506,0.3830000000000382,19.730000000000018,-101.0,-4.0,4.0,72.0,2.0
true positive,4th Campaign,0.5170619977717421,0.19384607689540506,0.8029999999999973,5.198,-108.0,2.0,-2.0,76.0,2.0
false alarm,4th Campaign,0.6028159757191325,0.19384607689540506,3.8489999999999895,4.954000000000008,-93.0,-4.0,-4.0,75.0,1.0
false alarm,4th Campaign,0.44660992407886557,0.19384607689540506,1.8540000000000418,9.354000000000042,-108.0,-16.0,-11.0,61.0,9.0
false alarm,4th Campaign,0.25112984402661576,0.19384607689540506,34.858999999999924,33.96900000000005,-114.0,-6.0,2.0,80.0,1.0
missed handover,1st Campaign,0.08453095192596327,0.19384607689540506,0.8210000000000264,230.358,-90.0,0.0,,45.0,1.0
missed handover,1st Campaign,0.07276073754632906,0.19384607689540506,0.2139999999999418,11.166999999999916,-77.0,-1.0,3.0,64.0,2.0
missed handover,3rd Campaign,0.02829964889130654,0.19384607689540506,0.043000000000006366,3.965000000000032,-80.0,-3.0,34.0,41.0,1.0
