features_from,seed,n,prevalence,auprc,lift,auroc
row t (as published),0,85560,0.020535296867695185,0.1667406273363791,8.119708636824472,0.8796535395831802
row t (as published),1,85560,0.020535296867695185,0.1673251426602931,8.148172570298621,0.8785654353713015
row t (as published),2,85560,0.020535296867695185,0.1655842819357708,8.063398498818753,0.8790873792957983
row t-1 (lagged one),0,85560,0.020535296867695185,0.12163137595990832,5.923039571502422,0.8374680018837849
row t-1 (lagged one),1,85560,0.020535296867695185,0.1211584723510037,5.9000107537574715,0.8346551946490819
row t-1 (lagged one),2,85560,0.020535296867695185,0.11981478531820741,5.834577707356759,0.8378848262529888
row t-2 (lagged two),0,85560,0.020535296867695185,0.07622036452444,3.711675804616441,0.7867761100373412
row t-2 (lagged two),1,85560,0.020535296867695185,0.07815923047994754,3.8060920659444,0.7870833086602111
row t-2 (lagged two),2,85560,0.020535296867695185,0.0772774693286749,3.7631532588283574,0.7884456317456058
