learner,horizon_s,blocked_purged,chunk_grouped,loco,random_row,inflation_random_vs_loco_%,inflation_random_vs_blocked_purged_%,inflation_chunk_vs_loco_%,rank_random_row,rank_chunk_grouped,rank_blocked_purged,rank_loco
gru,0.5,0.14355356722740528,0.19881861484568858,0.21189450037188495,0.2394358232565642,12.997658191384343,66.79197032928515,-6.170941437011146,3.0,3.0,3.0,3.0
gru,1.0,0.2441921212740977,0.32781030808342804,0.3748504747373874,0.41283882274114164,10.134267011497865,69.06312152378722,-12.549048173652377,3.0,3.0,3.0,3.0
gru,2.0,0.30724075704770715,0.3668355747649713,0.39504314783051264,0.45089516375010563,14.13820647853774,46.756298898226056,-7.140377758847594,3.0,3.0,3.0,3.0
gru,3.0,0.3656601793798768,0.4181069194561534,0.4419034041659386,0.5110573785485804,15.649115560258009,39.76292945414037,-5.384996921374563,3.0,3.0,3.0,3.0
gru,5.0,0.4663569020752276,0.513722898439,0.5250285323707162,0.6033963992008038,14.926401518832687,29.38511181367065,-2.1533370540200436,3.0,3.0,3.0,3.0
lgbm,0.5,0.3567371444055422,0.3942112157824362,0.34503375309208656,0.43481652528205555,26.021446129650606,21.887090285095724,14.252942574352879,1.0,1.0,1.0,1.0
lgbm,1.0,0.6169512218295855,0.647630551963161,0.5998204090789319,0.7154262636184269,19.27341130606348,15.96156038022114,7.970742935813924,1.0,1.0,1.0,1.0
lgbm,2.0,0.5400023905855453,0.5608287435001987,0.5194811398476228,0.6855664327695417,31.97138070703316,26.95618477284065,7.959404197947251,1.0,1.0,1.0,1.0
lgbm,3.0,0.54641281302695,0.5662570593522437,0.5194738357439774,0.7419568775620732,42.82853659019441,35.78687392996376,9.005886416062614,1.0,1.0,1.0,1.0
lgbm,5.0,0.592505794485245,0.6087399746973339,0.5596397909138423,0.8371369848741131,49.58496491236666,41.28756084172949,8.773533365687825,1.0,1.0,1.0,2.0
lr,0.5,0.2549666825530129,0.26182880254035285,0.25043078937387175,0.2883459119209762,15.13996048245505,13.091604375023792,4.5513625520961165,2.0,2.0,2.0,2.0
lr,1.0,0.43880226638331793,0.4452099393102202,0.4508890803200399,0.49053907804630253,8.793736521212537,11.790461359602379,-1.2595428138975295,2.0,2.0,2.0,2.0
lr,2.0,0.45762327830811406,0.46155532069329636,0.4689879164237565,0.503286569848865,7.313334144438333,9.978358555004752,-1.584816041133219,2.0,2.0,2.0,2.0
lr,3.0,0.4943158105794973,0.49950450388390405,0.507117289007057,0.5424810407820266,6.973485728363227,9.743817448619364,-1.5011882434651125,2.0,2.0,2.0,2.0
lr,5.0,0.5601532098504632,0.5664445754282852,0.5750394075686293,0.6102020604435979,6.114824899330418,8.934850271856076,-1.4946509799536267,2.0,2.0,2.0,1.0
