features_from,prevalence,auprc,lift,auroc
row t (as published),0.0205352968676951,0.16655001731081434,8.110426568647283,0.8791021180834266
row t-1 (lagged one),0.0205352968676951,0.12086821120970648,5.8858760108722175,0.8366693409286184
row t-2 (lagged two),0.0205352968676951,0.07721902144435412,3.760307043129733,0.7874350168143861
gain from t-1 to t (one second fresher),,37.794723396584295,,0.0424327771548082
gain from t-2 to t-1 (one second fresher),,56.526473592788285,,0.04923432411423234
