learner,held_out_capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
Event A3 rule (deployed parameters),10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.08104308309504689,1.6193746328533223,0.6773338181366703,0.35712057218291765,0.3300051098851882
Event A3 rule (deployed parameters),10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.1342991119879037,1.607161900602496,0.6880849611310533,0.34011340412682217,0.3207139095234575
Event A3 rule (deployed parameters),10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.22799810192700343,1.4867660658593216,0.6793939236494473,0.3144017420515237,0.31074092786979524
Event A3 rule (deployed parameters),10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.3014329621277104,1.4210411071734919,0.6761477159204432,0.29695454278614264,0.3055690442778047
Event A3 rule (deployed parameters),10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.41234986417173886,1.3207323590677165,0.6701656129741616,0.2893889568237756,0.30907802313146027
Event A3 rule (deployed parameters),12 Sept (urban loop),0.5,1131,0.042440318302387266,0.08570535507121346,2.0194324288654673,0.754280163127116,0.4785351962503478,0.4415063566713862
Event A3 rule (deployed parameters),12 Sept (urban loop),1.0,1131,0.07957559681697612,0.14002646223434922,1.7596658754116554,0.721667200341552,0.45200378108435046,0.42280671971896244
Event A3 rule (deployed parameters),12 Sept (urban loop),2.0,1131,0.14588859416445624,0.24188539472790757,1.658014432953112,0.7206223727962858,0.40649586239414043,0.38538239700421567
Event A3 rule (deployed parameters),12 Sept (urban loop),3.0,1131,0.19982316534040673,0.31226240260164995,1.5626937050551597,0.7045739011391973,0.3773158989846613,0.3651066245155429
Event A3 rule (deployed parameters),12 Sept (urban loop),5.0,1131,0.28470380194518125,0.4305383240549338,1.5122324363544415,0.699817273069275,0.33133888749040835,0.3352783812365124
Event A3 rule (deployed parameters),13 Sept (dense urban),0.5,3072,0.036783854166666664,0.08034692499604357,2.1842987043172197,0.7038867471969422,0.3087734723124393,0.2772413298783691
Event A3 rule (deployed parameters),13 Sept (dense urban),1.0,3072,0.06477864583333333,0.1212717310743693,1.8720942606053392,0.6873997554777018,0.3003077016148619,0.27407023853518026
Event A3 rule (deployed parameters),13 Sept (dense urban),2.0,3072,0.12076822916666667,0.21129549539274645,1.7495950454084017,0.6835388909568284,0.28598478494819524,0.2684557097606565
Event A3 rule (deployed parameters),13 Sept (dense urban),3.0,3072,0.1708984375,0.28418071656612093,1.6628631643640448,0.6787496027071999,0.2762191599481952,0.26818246246221594
Event A3 rule (deployed parameters),13 Sept (dense urban),5.0,3072,0.2548828125,0.3859711899452401,1.514308423386689,0.6650405320130091,0.27361499328152855,0.2804353563617292
Event A3 rule (deployed parameters),15 Sept (highway),0.5,2205,0.022222222222222223,0.03506842560753182,1.5780791523389317,0.6338883419787209,0.36836173395919636,0.3229611678036224
Event A3 rule (deployed parameters),15 Sept (highway),1.0,2205,0.050793650793650794,0.08086950486958817,1.5921183771200171,0.652824465906764,0.35503177890910864,0.3157576837649577
Event A3 rule (deployed parameters),15 Sept (highway),2.0,2205,0.09523809523809523,0.15279042876324608,1.604299502014084,0.6448549946294307,0.34119626162096706,0.31251277475709144
Event A3 rule (deployed parameters),15 Sept (highway),3.0,2205,0.1360544217687075,0.20909148357711366,1.5368224042917853,0.638225721784777,0.33484705527176073,0.3126301417204297
Event A3 rule (deployed parameters),15 Sept (highway),5.0,2205,0.20770975056689342,0.2968143479987111,1.4289861077230523,0.6359154683137406,0.32577676048718013,0.3142297865836955
Logistic regression,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.1449180817544822,2.8957025877180023,0.7791247821710616,0.028029676254066667,0.045890841189393745
Logistic regression,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.21336525338930645,2.553349021329173,0.7787085159329649,0.06309981972057342,0.07492867183937604
Logistic regression,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.3354575169897245,2.1875044071964664,0.7714451790562044,0.07898258010237,0.12131613684948726
Logistic regression,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.42358121539101123,1.9968828725576244,0.7635975135975135,0.09538123650582737,0.15322111225150312
Logistic regression,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5570096109852196,1.784069018714424,0.7610912589334801,0.09140089254503733,0.18626709294050442
Logistic regression,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.10492218366343985,2.4722289525698016,0.7776046475838719,0.13162822606717844,0.05697140990616679
Logistic regression,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.17804695885795294,2.2374567829816088,0.7602412210481375,0.23250158240311605,0.12400392137669618
Logistic regression,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3071512000726996,2.1053818623165044,0.7622121839513143,0.2933274419917384,0.19816874412070395
Logistic regression,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.3818375966639871,1.9108775302078291,0.7540947538258446,0.34117755143497397,0.25716780997114136
Logistic regression,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5251675625655267,1.8446102896323313,0.7544357346313599,0.3542579151129972,0.2995324728009095
Logistic regression,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.12131910679674315,3.2981619122088053,0.790589382325409,0.13020468452275172,0.05094183396492233
Logistic regression,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.18418332011432487,2.843272157744754,0.7752231397152837,0.23181370707064336,0.11063071763909466
Logistic regression,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.3071176285580853,2.5430333016992934,0.7668298952868609,0.29171564495993324,0.18071954375868646
Logistic regression,13 Sept (dense urban),3.0,3072,0.1708984375,0.39795440967808876,2.3286018029163595,0.7636248060276329,0.3316209915162904,0.23451782936231957
Logistic regression,13 Sept (dense urban),5.0,3072,0.2548828125,0.4990567395861379,1.9579850625908246,0.7494971508469347,0.33575067134704967,0.27780215871804526
Logistic regression,15 Sept (highway),0.5,2205,0.022222222222222223,0.05688867182673599,2.5599902322031194,0.7664325470447919,0.16796668812926482,0.05137918481089578
Logistic regression,15 Sept (highway),1.0,2205,0.050793650793650794,0.11567009818529972,2.2772550580230884,0.7573288512729508,0.28563500874092823,0.13110837245125648
Logistic regression,15 Sept (highway),2.0,2205,0.09523809523809523,0.19038167558221003,1.9990075936132055,0.7379114452798663,0.37198932561120635,0.22202849270863126
Logistic regression,15 Sept (highway),3.0,2205,0.1360544217687075,0.2593255960648675,1.9060431310767758,0.7377585301837271,0.4337612696261396,0.29775632279598246
Logistic regression,15 Sept (highway),5.0,2205,0.20770975056689342,0.3701702722158826,1.7821516380699152,0.7413444882431017,0.4572185149538063,0.3561459873894913
LightGBM,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.13282205371940928,2.6540039724850772,0.7567144523126449,0.012253756863877363,0.04577129426898314
LightGBM,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.1964094127863379,2.350437917849692,0.7645207998414411,0.01827908445079654,0.07235999933502106
LightGBM,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.3224996497363668,2.1030066979814577,0.7524289815163598,0.03282139705121048,0.11914013603333115
LightGBM,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.40155773031046105,1.893057871463602,0.7448473243927789,0.048423521978928845,0.1521975386180108
LightGBM,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5276755117460339,1.6901136243865613,0.7424693709259405,0.0641699236011569,0.1893842693171378
LightGBM,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.13373623599277992,3.151160060579877,0.8184633733456448,0.01578212282003844,0.03844582471528609
LightGBM,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.2325039077812678,2.921799107784599,0.80511260540079,0.021044747702457324,0.06643478964977942
LightGBM,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.37094472825386404,2.5426575009401224,0.7908714473931865,0.023429486045103528,0.10751577782561389
LightGBM,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.4377161127762278,2.190517360840326,0.7806580941671148,0.03858812007366962,0.13580742150466685
LightGBM,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5533209875558524,1.9434970090859287,0.7713533309276847,0.06020040784460831,0.1683557568195451
LightGBM,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.13300980252463845,3.6159833040326492,0.80904515098679,0.012027359920453333,0.033677552676764096
LightGBM,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.20307653672286866,3.1349302553399627,0.7888747601565081,0.01235836962476456,0.05590808187720237
LightGBM,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.3129496662652257,2.5913244602877987,0.7758392369402967,0.013858563786048649,0.09422044112788254
LightGBM,13 Sept (dense urban),3.0,3072,0.1708984375,0.3978137343705262,2.3277786514023933,0.7683197786377998,0.01887675749593407,0.12252593958814256
LightGBM,13 Sept (dense urban),5.0,3072,0.2548828125,0.4960712467881231,1.946271864793249,0.7545331746533899,0.037363652956208145,0.16190635006054668
LightGBM,15 Sept (highway),0.5,2205,0.022222222222222223,0.05666048916492483,2.5497220124216176,0.7469425618113664,0.02132483418597411,0.022536897762689054
LightGBM,15 Sept (highway),1.0,2205,0.050793650793650794,0.1318428462300913,2.5956560351549225,0.769311821718654,0.032619903887140644,0.048382496937625065
LightGBM,15 Sept (highway),2.0,2205,0.09523809523809523,0.2066262947798512,2.1695760951884377,0.7438477145244062,0.05868040758974831,0.0883246698319663
LightGBM,15 Sept (highway),3.0,2205,0.1360544217687075,0.2814974451090944,2.069006221551844,0.7388556430446194,0.0874943571694322,0.1214610644227768
LightGBM,15 Sept (highway),5.0,2205,0.20770975056689342,0.39722515384633883,1.9124049437361945,0.7362715372328859,0.12390652309300855,0.16770013108936296
MLP,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.11949637177351419,2.3877348414927884,0.7433720141361558,0.02007507323305932,0.046157771918187984
MLP,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.19576358316400883,2.3427092534681937,0.7513240767248783,0.030729354644410303,0.07361152483768511
MLP,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.31894404099786094,2.079820722435153,0.7487984984477899,0.03203390571971679,0.11814450781030321
