protocol,learner,horizon_s,auprc,lift,auroc,ece
blocked_purged,a3,0.5,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674
blocked_purged,a3,1.0,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183
blocked_purged,a3,2.0,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075
blocked_purged,a3,3.0,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504
blocked_purged,a3,5.0,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989
blocked_purged,gru,0.5,0.06408752139048748,1.7249387418768825,0.6947506856774281,0.030315378340229744
blocked_purged,gru,1.0,0.11070965237591077,1.6304512440815953,0.6838767473346723,0.04710950448175368
blocked_purged,gru,2.0,0.20353744168535928,1.6181226613986062,0.6900981066998253,0.058767944994351534
blocked_purged,gru,3.0,0.27674673070271927,1.5704873957789474,0.6907149676646593,0.06682559762791324
blocked_purged,gru,5.0,0.3917199142424429,1.4994682049423163,0.6917085361440138,0.07112715351825934
blocked_purged,lgbm,0.5,0.09465662418812026,2.547717163884642,0.764586294995942,0.020103829975168002
blocked_purged,lgbm,1.0,0.1662137142782289,2.447874701188462,0.7620428502833451,0.03409658307125956
blocked_purged,lgbm,2.0,0.2709554064929239,2.154095481618745,0.7517053024247268,0.05536591768325456
blocked_purged,lgbm,3.0,0.34869311387007285,1.9787700434160247,0.7443357125438496,0.06856907434890519
blocked_purged,lgbm,5.0,0.46638247875533967,1.7852697113657365,0.7396483350482229,0.09018042785570879
blocked_purged,lr,0.5,0.1001213833744149,2.6948031274380138,0.7691713816272198,0.007063228436258357
blocked_purged,lr,1.0,0.1616413871565593,2.3805367926693277,0.7577720104531985,0.012679611799475486
blocked_purged,lr,2.0,0.2693110359048127,2.141022735443261,0.7491681963071518,0.01936440053547775
blocked_purged,lr,3.0,0.35056730333874,1.9894057280016006,0.7430740453932921,0.022760266733073447
blocked_purged,lr,5.0,0.4642942344715429,1.7772761021723884,0.73627476207971,0.03128965094054212
