stratum,events,mu_per_s,alpha,beta,branching_ratio,mean_cluster_size,excitation_halflife_s,background_share,loglik,n_events,n_realisations,total_time_s
10 Sept (urban arterial),307,0.034924174164809065,0.054389727711079014,0.0806239014754218,0.674610465578371,3.0732395919784965,8.597291471577462,0.325389534421629,-880.172551760672,286,1,2692.0
12 Sept (urban loop),176,0.04271375822784826,0.09314461596099456,0.14303353951217862,0.6512082150708698,2.8670400026858043,4.846046479196071,0.3487917849291302,-509.1364233791521,174,1,1434.0
13 Sept (dense urban),297,0.029350588640400705,0.043263994510171926,0.06707609051747147,0.6449987495753475,2.8168914864491326,10.33374448648583,0.35500125042465247,-978.7985811931611,297,1,3594.0
15 Sept (highway),177,0.036157331803698685,0.0898508345664271,0.18452963880489567,0.48691817286559014,1.9490068583895377,3.7562918621046784,0.5130818271344099,-614.6059540439852,177,1,2514.0
pooled,957,0.031961628289428355,0.056736693457218074,0.08694235693171605,0.6525782766825461,2.8783462083234723,7.972491257677066,0.3474217233174539,-2988.9353834071817,934,4,10230.0
