held_out,horizon_s,events,resolvable_on_grid,grid_ceiling,detected,detection_rate,alarm_rate_rows,alarm_episodes,false_alarm_episodes,false_alarms_per_hour,false_alarms_per_km,lead_median_s,lead_p25_s,lead_p75_s,hours,km
LOCO:XCAL10Sept,0.5,286,109,0.3811188811188811,72,0.2517482517482518,0.3305785123966942,280,208,343.801652892562,9.183560837411237,0.28050000000001774,0.14674999999994043,0.4140000000000157,0.605,22.649166666666666
LOCO:XCAL10Sept,1.0,287,190,0.662020905923345,116,0.40418118466898956,0.27043158861340677,249,136,224.79338842975207,6.004635932153501,0.4755000000000109,0.26675000000005866,0.7290000000000987,0.605,22.649166666666666
LOCO:XCAL10Sept,2.0,287,214,0.7456445993031359,132,0.45993031358885017,0.2534435261707989,221,108,178.51239669421489,4.768387357886604,1.2725000000000364,0.7462500000000318,1.6337499999998926,0.605,22.649166666666666
LOCO:XCAL10Sept,3.0,288,253,0.8784722222222222,152,0.5277777777777778,0.236455463728191,202,90,148.7603305785124,3.9736561315721697,2.0599999999999454,1.0374999999999943,2.5017500000000155,0.605,22.649166666666666
LOCO:XCAL10Sept,5.0,289,275,0.9515570934256056,181,0.6262975778546713,0.22773186409550045,196,68,112.39669421487604,3.0023179660767507,3.740000000000009,2.1520000000000437,4.423000000000002,0.605,22.649166666666666
LOCO:XCAL12Sept,0.5,174,48,0.27586206896551724,32,0.1839080459770115,0.21839080459770116,113,81,257.82493368700267,10.44132127830991,0.22749999999995651,0.10624999999998863,0.3402499999999975,0.31416666666666665,7.757638888888889
LOCO:XCAL12Sept,1.0,174,93,0.5344827586206896,49,0.28160919540229884,0.18037135278514588,93,47,149.6021220159151,6.058544445439083,0.4590000000000032,0.19200000000000728,0.7180000000000746,0.31416666666666665,7.757638888888889
LOCO:XCAL12Sept,2.0,174,113,0.6494252873563219,33,0.1896551724137931,0.08753315649867374,56,27,85.94164456233422,3.480440426103303,1.053000000000111,0.6510000000000673,1.5589999999999975,0.31416666666666665,7.757638888888889
LOCO:XCAL12Sept,3.0,174,145,0.8333333333333334,49,0.28160919540229884,0.08045977011494253,53,21,66.84350132625995,2.7070092203025693,1.8500000000000227,0.9400000000000546,2.4250000000000114,0.31416666666666665,7.757638888888889
LOCO:XCAL12Sept,5.0,174,162,0.9310344827586207,67,0.3850574712643678,0.08134394341290893,53,13,41.37931034482759,1.675767612568257,2.8799999999999955,1.6089999999999947,4.163000000000011,0.31416666666666665,7.757638888888889
LOCO:XCAL13Sept,0.5,297,113,0.38047138047138046,75,0.25252525252525254,0.24153645833333334,307,232,271.875,13.303070123043844,0.27899999999999636,0.16349999999994225,0.40300000000002,0.8533333333333334,17.43958333333333
LOCO:XCAL13Sept,1.0,297,205,0.6902356902356902,110,0.37037037037037035,0.1884765625,264,158,185.15625,9.059849480348824,0.4334999999999809,0.23475000000004798,0.729750000000081,0.8533333333333334,17.43958333333333
LOCO:XCAL13Sept,2.0,297,237,0.797979797979798,103,0.3468013468013468,0.111328125,182,93,108.984375,5.332696213116713,1.23700000000008,0.7129999999999654,1.5355000000000132,0.8533333333333334,17.43958333333333
LOCO:XCAL13Sept,3.0,297,267,0.898989898989899,90,0.30303030303030304,0.08040364583333333,136,58,67.96875,3.325767530760961,1.8694999999999595,0.7994999999998527,2.504000000000019,0.8533333333333334,17.43958333333333
LOCO:XCAL13Sept,5.0,297,285,0.9595959595959596,87,0.29292929292929293,0.0625,108,39,45.703125,2.236291960339267,2.68100000000004,1.4795000000000869,4.139499999999998,0.8533333333333334,17.43958333333333
LOCO:XCAL15Sept,0.5,177,49,0.2768361581920904,24,0.13559322033898305,0.1727891156462585,165,141,230.20408163265304,4.62809314538923,0.18049999999993815,0.058499999999973795,0.3030000000000008,0.6125,30.46611111111111
LOCO:XCAL15Sept,1.0,177,116,0.655367231638418,43,0.24293785310734464,0.127437641723356,127,86,140.40816326530611,2.82280858513102,0.5579999999999927,0.22249999999991132,0.7635000000000218,0.6125,30.46611111111111
LOCO:XCAL15Sept,2.0,177,135,0.7627118644067796,46,0.2598870056497175,0.11428571428571428,109,68,111.0204081632653,2.231988183591969,1.2475000000000023,0.7147500000000377,1.7272499999999695,0.6125,30.46611111111111
LOCO:XCAL15Sept,3.0,177,161,0.9096045197740112,53,0.2994350282485876,0.09070294784580499,90,50,81.63265306122449,1.6411677820529185,2.2609999999999673,1.0119999999999436,2.7329999999999472,0.6125,30.46611111111111
LOCO:XCAL15Sept,5.0,177,171,0.9661016949152542,63,0.3559322033898305,0.09659863945578231,94,46,75.10204081632652,1.509874359488685,3.768000000000029,2.5119999999999436,4.27699999999993,0.6125,30.46611111111111
