protocol,learner,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
random_row,lgbm,0,0.5,8590,0.037136204889406284,0.44040409288545035,11.85915723475241,0.9437559717849388,0.012664133250878052,0.026812466616185877
random_row,lgbm,0,1.0,8590,0.06786961583236321,0.7130604711558386,10.50632838289649,0.9483263036781067,0.015841290933041305,0.034087503708638
random_row,lgbm,0,2.0,8590,0.1258440046565774,0.6852943952998406,5.445586360430741,0.9213846252212423,0.02247355336610187,0.06631565421621412
random_row,lgbm,0,3.0,8590,0.17625145518044238,0.7384298475435663,4.189638302773603,0.9231544775612279,0.024545287466039106,0.08170688925007877
random_row,lgbm,0,5.0,8590,0.2612339930151339,0.8345197351911813,3.19452964585216,0.9315021097686417,0.02928233421225051,0.09155294385012934
random_row,lgbm,1,0.5,8590,0.037136204889406284,0.432019549663427,11.63337909595247,0.9431154439596899,0.012803153316286998,0.02710395966498143
random_row,lgbm,1,1.0,8590,0.06786961583236321,0.7135316392742724,10.513270636991424,0.9464773640388846,0.015822040020950615,0.0339957098558765
random_row,lgbm,1,2.0,8590,0.1258440046565774,0.6836179559014677,5.432264792963559,0.9206083750994335,0.02247619991731949,0.06654203897544457
random_row,lgbm,1,3.0,8590,0.17625145518044238,0.7408432273201763,4.2033311246237215,0.924358614864991,0.0249703854157495,0.08126937987353215
random_row,lgbm,1,5.0,8590,0.2612339930151339,0.8362611581027058,3.2011957879243504,0.9325861364802059,0.02913142349183767,0.09082488934178476
random_row,lgbm,2,0.5,8590,0.037136204889406284,0.4320259332972895,11.633550993804755,0.942980895215333,0.012452191152367233,0.02700993561344441
random_row,lgbm,2,1.0,8590,0.06786961583236321,0.7196866804251695,10.603959836796236,0.9474919137007263,0.015295224296521234,0.03365506068698476
random_row,lgbm,2,2.0,8590,0.1258440046565774,0.6877869471073165,5.465393039455919,0.9196414195041189,0.022009389717611263,0.06599848425527088
random_row,lgbm,2,3.0,8590,0.17625145518044238,0.7465975578224769,4.235979538768214,0.9232218719126479,0.02000841772725736,0.0803802962484358
random_row,lgbm,2,5.0,8590,0.2612339930151339,0.8406300613284525,3.2179198871708588,0.9328001048283394,0.02830960088957847,0.09030744056983064
random_row,lr,0,0.5,8590,0.037136204889406284,0.2883459119209762,7.764549791226288,0.895080405192596,0.01240548520265639,0.030420118763677135
random_row,lr,0,1.0,8590,0.06786961583236321,0.49053907804630253,7.227668405519277,0.895265527740414,0.02518696545034304,0.04679511272042358
random_row,lr,0,2.0,8590,0.1258440046565774,0.503286569848865,3.999289209067299,0.8491407597346337,0.019933317174458426,0.08330227501753372
random_row,lr,0,3.0,8590,0.17625145518044238,0.5424810407820266,3.0778812023233875,0.829282827023156,0.024902178188806894,0.11021505494156196
random_row,lr,0,5.0,8590,0.2612339930151339,0.6102020604435979,2.335844785744432,0.8071572868897723,0.024799619274574695,0.14645139120859366
random_row,lr,1,0.5,8590,0.037136204889406284,0.2883459119209762,7.764549791226288,0.895080405192596,0.01240548520265639,0.030420118763677135
random_row,lr,1,1.0,8590,0.06786961583236321,0.49053907804630253,7.227668405519277,0.895265527740414,0.02518696545034304,0.04679511272042358
random_row,lr,1,2.0,8590,0.1258440046565774,0.503286569848865,3.999289209067299,0.8491407597346337,0.019933317174458426,0.08330227501753372
random_row,lr,1,3.0,8590,0.17625145518044238,0.5424810407820266,3.0778812023233875,0.829282827023156,0.024902178188806894,0.11021505494156196
random_row,lr,1,5.0,8590,0.2612339930151339,0.6102020604435979,2.335844785744432,0.8071572868897723,0.024799619274574695,0.14645139120859366
random_row,lr,2,0.5,8590,0.037136204889406284,0.2883459119209762,7.764549791226288,0.895080405192596,0.01240548520265639,0.030420118763677135
random_row,lr,2,1.0,8590,0.06786961583236321,0.49053907804630253,7.227668405519277,0.895265527740414,0.02518696545034304,0.04679511272042358
random_row,lr,2,2.0,8590,0.1258440046565774,0.503286569848865,3.999289209067299,0.8491407597346337,0.019933317174458426,0.08330227501753372
random_row,lr,2,3.0,8590,0.17625145518044238,0.5424810407820266,3.0778812023233875,0.829282827023156,0.024902178188806894,0.11021505494156196
random_row,lr,2,5.0,8590,0.2612339930151339,0.6102020604435979,2.335844785744432,0.8071572868897723,0.024799619274574695,0.14645139120859366
random_row,gru,0,0.5,8590,0.037136204889406284,0.25252687511324207,6.800018361199841,0.8770025496039527,0.016079487775618316,0.03144502837118455
random_row,gru,0,1.0,8590,0.06786961583236321,0.4452318092176216,6.560105044904579,0.878002652481823,0.02565859102397914,0.04938360068676034
random_row,gru,0,2.0,8590,0.1258440046565774,0.47622970615312415,3.78428600911687,0.8362189239702366,0.030314071616971035,0.08690578295954134
random_row,gru,0,3.0,8590,0.17625145518044238,0.5282237727498035,2.996989569300404,0.8226764537204296,0.03561446410674295,0.11306366652785943
