blank_s,n_rows,prevalence_1s,auprc_1s,lift_1s
0.0,10236,0.08841344275107464,0.1859102094057524,2.1027369099196482
1.0,9333,0.08014571948998178,0.18255439104808774,2.277780924668186
2.0,8586,0.06790123456790123,0.15684029273020644,2.3098297656630407
3.0,8004,0.06221889055472264,0.14988497500002082,2.4089946584340693
5.0,7074,0.05442465366129488,0.1389764375676796,2.553556673646144
