trace,n,median_abs_err_forward_m,median_abs_err_backward_m,corr_forward,corr_backward,forward_wins
B_2019.11.20_16.55.16,1871,7.777777777777778,7.777777777777778,0.19342154218865532,0.2001384889907661,False
B_2019.11.21_07.59.06,1950,8.333333333333334,8.333333333333334,0.1880190475944865,0.16940546989632796,False
B_2019.11.21_09.03.55,319,10.277777777777777,10.277777777777777,0.0664400134815734,0.06323035299689715,False
B_2019.11.21_09.44.52,847,11.38888888888889,11.666666666666666,0.144528279170126,0.1429801101596456,True
B_2019.11.21_10.20.17,188,13.61111111111111,13.88888888888889,0.09512431280043387,0.08033923597083996,True
B_2019.11.21_14.33.25,1182,10.0,10.0,0.14934996210530516,0.1504633906655751,False
B_2019.11.21_15.38.35,1449,4.722222222222222,4.722222222222222,0.1751273501431069,0.15370602902608188,False
B_2019.11.21_16.15.17,1066,12.5,12.5,0.07523044866306244,0.04851187771954629,False
B_2019.11.22_07.30.04,1008,9.444444444444445,9.444444444444445,0.15881453909677642,0.17181512545067282,False
B_2019.11.23_12.27.34,902,23.333333333333332,23.333333333333332,0.25562182653601434,0.2602854653302369,False
B_2019.11.23_16.08.19,989,10.277777777777777,10.277777777777777,0.22401074539268123,0.2165777314910127,False
B_2019.11.24_12.19.13,520,10.833333333333334,10.833333333333334,0.10358930466835989,0.1611301005044444,False
B_2019.11.24_13.06.36,516,11.944444444444445,11.944444444444445,0.11293362883097781,0.09144783067671407,False
B_2019.11.25_07.25.43,1561,6.111111111111111,6.111111111111111,0.1821389154411587,0.1954677670701693,False
B_2019.11.25_15.34.34,1334,9.444444444444445,9.444444444444445,0.14781060996954692,0.1285544236007384,False
B_2019.11.26_07.29.24,1488,8.88888888888889,8.88888888888889,0.17280151731227666,0.1575383408797057,False
B_2019.11.26_09.53.40,2451,9.166666666666666,9.166666666666666,0.24893841585190218,0.2524224348234266,False
B_2019.11.26_13.00.56,862,8.055555555555555,8.055555555555555,0.25688599480431784,0.2413886995147903,False
B_2019.11.26_13.20.42,433,20.833333333333332,20.833333333333332,0.2584767056721895,0.19078449265421468,False
B_2019.11.26_15.02.50,2901,8.055555555555555,8.055555555555555,0.1430063360975672,0.1601521767745221,False
B_2019.11.27_07.29.47,1770,7.222222222222222,7.222222222222222,0.17326506480848114,0.18761140503239834,False
B_2019.11.27_16.33.16,1448,8.333333333333334,8.333333333333334,0.16950221385876746,0.16944058473906454,False
B_2019.11.28_07.27.57,1313,8.055555555555555,8.055555555555555,0.17040657781715715,0.16817912612625427,False
B_2019.11.28_10.14.25,884,13.055555555555555,13.194444444444443,0.11338121547311335,0.09616104617022714,True
B_2019.11.28_12.05.29,536,11.38888888888889,11.38888888888889,0.1963119427444278,0.18533774480215492,False
B_2019.11.28_14.53.29,3277,8.333333333333334,8.333333333333334,0.1809264365947643,0.17727400473886062,False
B_2019.11.28_17.18.56,659,8.333333333333334,8.333333333333334,0.19336463462161396,0.20980567308705744,False
B_2019.11.29_09.37.23,1649,9.722222222222221,9.722222222222221,0.19005097540648677,0.1868928921741171,False
B_2019.11.29_13.05.25,735,10.833333333333334,10.833333333333334,0.12401229676590263,0.1262480889622167,False
B_2019.12.01_12.11.21,388,13.61111111111111,13.61111111111111,0.17846097168380975,0.16252107825564915,False
B_2019.12.01_13.05.00,577,7.777777777777778,7.777777777777778,0.26451804112213967,0.2213506686080054,False
B_2019.12.02_07.26.15,1266,9.166666666666666,9.166666666666666,0.17365721491679192,0.1827503976174418,False
B_2019.12.02_09.39.35,724,8.88888888888889,8.88888888888889,0.13801959180956258,0.13245666709439494,False
B_2019.12.02_12.41.17,770,10.555555555555555,10.555555555555555,0.21327906472729063,0.19908199851552225,False
B_2019.12.03_07.29.22,1043,8.333333333333334,8.333333333333334,0.1623457740465413,0.14963066108765147,False
B_2019.12.03_10.42.14,567,5.555555555555555,5.555555555555555,0.16997639690944408,0.15953957832564813,False
B_2019.12.03_13.58.03,2048,8.88888888888889,8.88888888888889,0.1552422883318616,0.16927601558446295,False
B_2019.12.04_07.26.30,1998,6.111111111111111,6.111111111111111,0.215246006390469,0.20783616302798694,False
B_2019.12.04_11.58.01,975,6.944444444444445,6.944444444444445,0.21944902243942446,0.23068010803574424,False
B_2019.12.04_14.24.21,588,16.11111111111111,16.11111111111111,0.18044894931634664,0.22497361032864813,False
B_2019.12.06_07.31.16,3122,9.166666666666666,9.166666666666666,0.13810754744877313,0.14781644904123997,False
B_2019.12.06_09.32.38,611,12.5,12.5,0.182079003204949,0.1795690574925541,False
B_2019.12.06_11.49.24,1741,9.166666666666666,9.166666666666666,0.16187584205955263,0.17058730503159517,False
B_2019.12.14_10.16.30,711,11.666666666666666,11.666666666666666,0.19839521012275343,0.18642150477480465,False
B_2019.12.16_07.22.43,1640,10.555555555555555,10.555555555555555,0.1424301795460435,0.15020859012001678,False
B_2019.12.16_11.49.59,219,13.88888888888889,13.88888888888889,0.08650254654453739,0.08909305699089654,False
B_2019.12.16_12.27.05,827,10.555555555555555,10.555555555555555,0.20357379463807038,0.18353620379047947,False
B_2019.12.16_14.23.32,1907,7.777777777777778,8.055555555555555,0.11934024271659173,0.12027654026936321,True
B_2019.12.17_07.32.39,1698,8.055555555555555,8.055555555555555,0.1423738789120812,0.1599381233569413,False
B_2020.01.16_07.26.43,1109,8.88888888888889,8.88888888888889,0.17314770582791142,0.1557672286687581,False
B_2020.01.16_09.56.56,996,10.277777777777777,10.277777777777777,0.14427857012903972,0.14868480528145062,False
B_2020.01.16_12.10.03,209,7.5,7.5,0.145456624681224,0.1221518835923755,False
B_2020.02.13_13.03.24,1399,9.444444444444445,9.444444444444445,0.18787711870821117,0.18461822521299207,False
B_2020.02.13_15.02.01,2052,9.444444444444445,9.444444444444445,0.20034812408100142,0.17187644204360003,False
B_2020.02.14_07.29.00,1177,9.166666666666666,9.166666666666666,0.1365034976281819,0.1509190543715368,False
B_2020.02.14_09.38.22,920,11.38888888888889,11.38888888888889,0.14892100759918664,0.15892920629560323,False
B_2020.02.14_12.58.17,545,6.944444444444445,6.944444444444445,0.26363228559814783,0.21250387002954094,False
B_2020.02.27_17.30.15,459,12.777777777777777,12.777777777777777,0.15839654492953392,0.19387858268325184,False
B_2020.02.27_20.35.57,446,13.333333333333332,13.333333333333332,0.1036104032329676,0.0992853355086,False
