variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
rf+mobility+history,multi-head LGBM,0.5,0,1337,1559,0.05067350865939705,0.48679136010379215,9.606426967111544,0.9542251111871365,0.03288802518255812,0.02598717658215314
rf+mobility+history,multi-head LGBM,1.0,0,1337,1559,0.08915971776779986,0.8608170377782977,9.654775265441483,0.9467980545141352,0.02432207443418504,0.020382476471603996
rf+mobility+history,multi-head LGBM,2.0,0,1337,1549,0.1620400258231117,0.6888955932602479,4.251391529721609,0.8577523496154058,0.08875788561105412,0.07005750726585412
rf+mobility+history,multi-head LGBM,3.0,0,1337,1540,0.22272727272727272,0.6833353756333512,3.068036380394638,0.8401031733853584,0.1261645349346001,0.08607533092754398
rf+mobility+history,multi-head LGBM,5.0,0,1337,1523,0.314510833880499,0.709249345124424,2.2550871662306844,0.8138542941472896,0.16355224323904669,0.10042734178491304
rf+mobility+history,multi-head LGBM + isotonic,0.5,0,1337,1559,0.05067350865939705,0.47703025559878165,9.413799600993679,0.9520441327403353,0.03126220439158949,0.018347462160159242
rf+mobility+history,multi-head LGBM + isotonic,1.0,0,1337,1559,0.08915971776779986,0.822674102807093,9.22697069263495,0.9452781436822372,0.025137813648561463,0.015105913723504942
rf+mobility+history,multi-head LGBM + isotonic,2.0,0,1337,1549,0.1620400258231117,0.6483558304070871,4.0012078936278,0.849190295827476,0.0835683859268057,0.041943282267955705
rf+mobility+history,multi-head LGBM + isotonic,3.0,0,1337,1540,0.22272727272727272,0.6248659845877437,2.805520747128645,0.8359284995774177,0.12675597923996632,0.06860293521091068
rf+mobility+history,multi-head LGBM + isotonic,5.0,0,1337,1523,0.314510833880499,0.672353611587557,2.137775679431836,0.8076752333645286,0.16904283274697915,0.08920715457860048
rf+mobility+history,multi-head LGBM + isotonic + monotone,0.5,0,1337,1559,0.05067350865939705,0.4925595049088031,9.720256558896507,0.9539984604858023,0.031165423800756004,0.019821003932400282
rf+mobility+history,multi-head LGBM + isotonic + monotone,1.0,0,1337,1559,0.08915971776779986,0.8387179290472315,9.406915477587296,0.9464915391630357,0.025903378737556094,0.010425288930491692
rf+mobility+history,multi-head LGBM + isotonic + monotone,2.0,0,1337,1549,0.1620400258231117,0.6712438885153603,4.142457304025072,0.8532035187447436,0.08337471161992639,0.044635968455899934
rf+mobility+history,multi-head LGBM + isotonic + monotone,3.0,0,1337,1540,0.22272727272727272,0.665769412964343,2.989168792901132,0.8395307997885871,0.12222634945133191,0.060228889914984506
rf+mobility+history,multi-head LGBM + isotonic + monotone,5.0,0,1337,1523,0.314510833880499,0.6930455403294238,2.2035665092311327,0.8147301610155256,0.16413598393028578,0.07947517443533328
rf+mobility+history,hazard LGBM,0.5,0,1337,1559,0.05067350865939705,0.5321224613997274,10.500998953445253,0.9548323640095793,0.030004720090291835,0.018445289152615223
rf+mobility+history,hazard LGBM,1.0,0,1337,1559,0.08915971776779986,0.8553650421666291,9.593626624012769,0.9482723680210762,0.025273579203560378,0.014000076119322488
rf+mobility+history,hazard LGBM,2.0,0,1337,1549,0.1620400258231117,0.7088408508154614,4.374479991685855,0.8746370450401783,0.08262968222110988,0.0468541910803057
