,mu_per_s,alpha,beta,branching_ratio,mean_cluster_size,excitation_halflife_s,background_share,loglik,n_events,n_realisations,total_time_s,ogata_ks_stat,ogata_ks_p,n_residuals,loglik_poisson,lr_stat_vs_poisson,lr_p_boundary_mixture,branching_ci_low,branching_ci_high,n_bootstrap,gamma_shape,gamma_scale,gamma_loglik,exponential_loglik,gamma_ks_p,note
pooled,0.0387193243050984,0.06564192476963414,0.10843413326727978,0.6053621935431813,2.5339690816202127,6.392333849816493,0.3946378064568187,-2990.651010957427,930,57,10203.0,0.07514831124749655,9.723611391457401e-05,874,-3157.584813401043,333.8676048872321,6.908797787655463e-75,0.5237274982618962,0.6729475881505674,200,0.7721133422919485,11.377463118871013,-2751.9616147659763,-2773.211225966109,1.1604883175573598e-13,"shape > 1 = regular, < 1 = clustered inter-event times"
XCAL10Sept,0.04211863568456684,0.05224693559391606,0.0804728165668536,0.6492494959526041,2.85102940255468,8.6134325866935,0.35075050404739594,-886.9314907790701,288,15,2685.0,0.0870877843741239,0.029906957521364075,273,-930.9529517204215,88.04292188270279,3.202471756798552e-21,0.4537515488497941,0.7762466208835845,100,0.9032636545989463,8.319501463877526,-822.6486671936974,-823.6032006790542,0.000422033710316556,"shape > 1 = regular, < 1 = clustered inter-event times"
XCAL12Sept,0.04919940209918566,0.10399799876908347,0.17075122115463043,0.6090615227571581,2.557947242882473,4.059398087304095,0.3909384772428419,-506.39279908518523,172,8,1432.0,0.10439973277438416,0.05205476909368145,164,-536.5252537616277,60.264909352884956,4.145621041885579e-15,0.4433391160956396,0.7402066173132779,100,0.7304654511698457,10.076009505283125,-485.3198041997694,-491.35776913954754,6.671556346428106e-06,"shape > 1 = regular, < 1 = clustered inter-event times"
XCAL13Sept,0.03821365303264033,0.05610938536170637,0.0989462264375926,0.5670694818977832,2.3098394735108405,7.005291717689985,0.43293051810221683,-979.5755487785254,294,20,3580.0,0.07784177197183373,0.06848341821402659,274,-1028.864263744483,98.57742993191505,1.5628067651041134e-23,0.36278586340811,0.6876539214112651,100,0.7409491962747754,13.946566285848021,-904.7716720034787,-913.9023719254011,0.0003999000527935766,"shape > 1 = regular, < 1 = clustered inter-event times"
XCAL15Sept,0.03531860294800812,0.08638539476138828,0.16855170002779116,0.5125157132627252,2.0513481710210297,4.112371340340428,0.48748428673727484,-610.4531261406606,176,14,2506.0,0.113282910808858,0.028087070145765725,163,-643.4488087135437,65.99136514576617,2.264514036532122e-16,0.3353518998977564,0.6290139594825772,100,0.7432653138172272,13.105856890223754,-528.7348472784794,-534.0461922534776,0.013659841231650802,"shape > 1 = regular, < 1 = clustered inter-event times"
