model,feature_set,seed,condition,horizon_s,n_events,n_detected,n_alarm_episodes,n_false_alarm_episodes,observed_hours,observed_km,event_detection_rate,missed_event_rate,false_alarms_per_hour,false_alarms_per_km,median_lead_time_s
lgbm,rf_mob_hist,1337,grouped_drive,0.5,761,331,405,84,2.0069444444444446,61.11497555807019,0.43495400788436267,0.5650459921156373,41.85467128027681,1.3744585387289394,0.4444985202432039
lgbm,rf_mob_hist,1337,grouped_drive,1.0,761,342,467,136,2.0069444444444446,61.11497555807019,0.44940867279894875,0.5505913272010512,67.76470588235293,2.225313824608759,0.45385672335039107
lgbm,rf_mob_hist,1337,grouped_drive,2.0,761,406,482,141,1.9961111111111112,60.81814336563027,0.533508541392904,0.46649145860709595,70.63735040356248,2.3183871160342315,0.6624113391772867
lgbm,rf_mob_hist,1337,grouped_drive,3.0,761,474,466,115,1.9844444444444445,60.51516308336592,0.6228646517739816,0.37713534822601835,57.95072788353863,1.9003501625134112,0.8674345941986212
lgbm,rf_mob_hist,1337,grouped_drive,5.0,761,518,481,131,1.9613888888888888,59.77285444131392,0.6806833114323259,0.31931668856767415,66.78940659963177,2.191630318217749,2.029945921713781
