model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
mlp,default,0.5,6049,0.04199041163828732,0.39398217130442414,9.382669898505755,0.9074297011406792,0.06293882016404849,0.226577581954577,0.07827696741604928,0.49899396378269617,0.9065956473350525,0.2440944881889764,0.9788700342178345,0.610236220472441,0.7035897374153137,0.7401574803149606,0.34877151250839233,0.47924528301886793,0.19596541786743515
mlp,default,1.0,6049,0.07257397917011076,0.689102991060911,9.495179938331324,0.9130331859395238,0.06442556226845807,0.22811336877610483,0.0803872256283114,0.647953216374269,0.8105669021606445,0.5239179954441914,0.9308080673217773,0.7038724373576309,0.6281912326812744,0.7835990888382688,0.37832972407341003,0.8339622641509434,0.3302063789868668
mlp,default,2.0,6014,0.13451945460591952,0.5858136760589557,4.354862111024178,0.8416004388667833,0.125226976189884,0.4026767625378439,0.13655316836449166,0.5444444444444444,0.7835789322853088,0.2978986402966625,0.955226480960846,0.48702101359703337,0.7714475989341736,0.580964153275649,0.622742235660553,0.5777460770328102,0.29521640091116175
mlp,default,3.0,5979,0.18748954674694765,0.5848076151111755,3.119147841881997,0.8115873501464794,0.1522321850671196,0.476165885873123,0.14259917766913727,0.536662703131193,0.5531294345855713,0.2328278322925959,0.9537801742553711,0.3898305084745763,0.8090751767158508,0.504014272970562,0.6660683155059814,0.5389048991354467,0.34169517293804635
mlp,default,5.0,5906,0.2758211987809008,0.6203994876656854,2.249281383765217,0.7835470695468345,0.18001215056881276,0.5471000023554048,0.12079333563241727,0.573474801061008,0.4729996919631958,0.1761817065684469,0.9588067531585693,0.3106200122774708,0.8388785123825073,0.44321669736034375,0.6998709440231323,0.5940233236151603,0.42857142857142855
mlp,tuned,0.5,6049,0.04199041163828732,0.43749131255099294,10.418838384334475,0.9156780553423057,0.08222033627118422,0.27035579607942234,0.11704301653734478,0.5383104125736738,0.9092261791229248,0.2992125984251969,0.966304361820221,0.6653543307086615,0.7736589908599854,0.7637795275590551,0.574629545211792,0.5443548387096774,0.21818181818181817
mlp,tuned,1.0,6049,0.07257397917011076,0.6929481312291809,9.548162291128282,0.9155880119701639,0.08060461427645602,0.27355518158493414,0.11463794599240618,0.6649550706033376,0.9131449460983276,0.5466970387243736,0.9457497000694275,0.7084282460136674,0.7343604564666748,0.7835990888382688,0.5075128078460693,0.8544061302681992,0.34577603143418467
mlp,tuned,2.0,6014,0.13451945460591952,0.5996651743655769,4.457832334529765,0.8482715464473283,0.1336107726231449,0.4260491619993464,0.17019629870835828,0.5400552486187845,0.7963271141052246,0.3300370828182942,0.9417200684547424,0.48702101359703337,0.7880042195320129,0.5982694684796045,0.6484852433204651,0.5728429985855729,0.30266230733302196
mlp,tuned,3.0,5979,0.18748954674694765,0.5964046398758298,3.181002089043342,0.8202202130148308,0.154439892050005,0.48476711580857,0.16507852283747246,0.546506453048509,0.6471123695373535,0.24977698483496877,0.9457067251205444,0.3951828724353256,0.807097852230072,0.5343443354148082,0.6641220450401306,0.5704154002026343,0.3609657947686117
mlp,tuned,5.0,5906,0.2758211987809008,0.631094215172787,2.288055515537434,0.793324552228984,0.1746937746432361,0.5362821265105949,0.1247958045984173,0.5828151498021481,0.5085662007331848,0.18968692449355432,0.9508233070373535,0.33087783916513197,0.8095002174377441,0.46286065070595456,0.6795132160186768,0.6053584359160029,0.4482640082502578
gru,default,0.5,6049,0.04199041163828732,0.266491094344957,6.346474920049784,0.8509759295618677,0.09267583093967814,0.2919669151210874,0.13180782602996632,0.3628865979381443,0.8700333833694458,0.18110236220472442,0.9353366494178772,0.4251968503937008,0.7916441559791565,0.5708661417322834,0.5855425596237183,0.22882882882882882,0.11757925072046109
gru,default,1.0,6049,0.07257397917011076,0.48606771851222474,6.69754813047938,0.8625043142127425,0.10127350165147839,0.31759022138836535,0.12580820361117956,0.47257383966244726,0.8918617367744446,0.30296127562642367,0.9215473532676697,0.47380410022779046,0.806261420249939,0.6104783599088838,0.6155062913894653,0.40892193308550184,0.20417633410672853
gru,default,2.0,6014,0.13451945460591952,0.44321999741633367,3.2948393874682704,0.7944165600966077,0.1508160277096995,0.4681790988767037,0.14365633655211565,0.4491671453187823,0.7217503190040588,0.14956736711990112,0.9492313265800476,0.3288009888751545,0.868810772895813,0.4672435105067985,0.7349595427513123,0.4062186559679037,0.24098177761249534
