operating_point,threshold,alarm_rate,alarms_per_hour,min_lead_time_s,n_adverse_events,n_warned,max_avoidable_frac,random_alarm_reference,lift_over_random,excess_over_random,actuator_efficacy,attainable_benefit_frac,ranker,seed
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,0.0,269,25,0.09293680297397769,0.18357705612384978,0.5062550023205412,-0.09064025314987209,0.25,0.023234200743494422,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,0.0,269,25,0.09293680297397769,0.18357705612384978,0.5062550023205412,-0.09064025314987209,0.5,0.046468401486988845,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,0.0,269,25,0.09293680297397769,0.18357705612384978,0.5062550023205412,-0.09064025314987209,0.75,0.06970260223048327,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,0.0,269,25,0.09293680297397769,0.18357705612384978,0.5062550023205412,-0.09064025314987209,1.0,0.09293680297397769,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,1.0,269,25,0.09293680297397769,0.16684907458033604,0.5570111983403876,-0.07391227160635835,0.25,0.023234200743494422,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,1.0,269,25,0.09293680297397769,0.16684907458033604,0.5570111983403876,-0.07391227160635835,0.5,0.046468401486988845,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,1.0,269,25,0.09293680297397769,0.16684907458033604,0.5570111983403876,-0.07391227160635835,0.75,0.06970260223048327,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,1.0,269,25,0.09293680297397769,0.16684907458033604,0.5570111983403876,-0.07391227160635835,1.0,0.09293680297397769,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,2.0,269,24,0.08921933085501858,0.14977834744323126,0.5956757594006327,-0.06055901658821268,0.25,0.022304832713754646,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,2.0,269,24,0.08921933085501858,0.14977834744323126,0.5956757594006327,-0.06055901658821268,0.5,0.04460966542750929,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,2.0,269,24,0.08921933085501858,0.14977834744323126,0.5956757594006327,-0.06055901658821268,0.75,0.06691449814126393,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,2.0,269,24,0.08921933085501858,0.14977834744323126,0.5956757594006327,-0.06055901658821268,1.0,0.08921933085501858,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,3.0,269,21,0.07806691449814127,0.1323578520755473,0.5898170246339611,-0.05429093757740602,0.25,0.019516728624535316,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,3.0,269,21,0.07806691449814127,0.1323578520755473,0.5898170246339611,-0.05429093757740602,0.5,0.03903345724907063,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,3.0,269,21,0.07806691449814127,0.1323578520755473,0.5898170246339611,-0.05429093757740602,0.75,0.05855018587360595,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,3.0,269,21,0.07806691449814127,0.1323578520755473,0.5898170246339611,-0.05429093757740602,1.0,0.07806691449814127,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,5.0,269,17,0.06319702602230483,0.09643874370569083,0.6553074375913462,-0.033241717683386005,0.25,0.015799256505576207,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,5.0,269,17,0.06319702602230483,0.09643874370569083,0.6553074375913462,-0.033241717683386005,0.5,0.031598513011152414,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,5.0,269,17,0.06319702602230483,0.09643874370569083,0.6553074375913462,-0.033241717683386005,0.75,0.047397769516728624,dedicated ping-pong model,1337
alarm_top_2pct,0.7399924407539611,0.020077972709551656,72.6845045574831,5.0,269,17,0.06319702602230483,0.09643874370569083,0.6553074375913462,-0.033241717683386005,1.0,0.06319702602230483,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,0.0,269,47,0.17472118959107807,0.4012630607616213,0.4354280437861556,-0.22654187117054325,0.25,0.04368029739776952,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,0.0,269,47,0.17472118959107807,0.4012630607616213,0.4354280437861556,-0.22654187117054325,0.5,0.08736059479553904,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,0.0,269,47,0.17472118959107807,0.4012630607616213,0.4354280437861556,-0.22654187117054325,0.75,0.13104089219330856,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,0.0,269,47,0.17472118959107807,0.4012630607616213,0.4354280437861556,-0.22654187117054325,1.0,0.17472118959107807,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,1.0,269,42,0.15613382899628253,0.3697505902753909,0.4222679641430559,-0.2136167612791084,0.25,0.03903345724907063,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,1.0,269,42,0.15613382899628253,0.3697505902753909,0.4222679641430559,-0.2136167612791084,0.5,0.07806691449814127,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,1.0,269,42,0.15613382899628253,0.3697505902753909,0.4222679641430559,-0.2136167612791084,0.75,0.1171003717472119,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,1.0,269,42,0.15613382899628253,0.3697505902753909,0.4222679641430559,-0.2136167612791084,1.0,0.15613382899628253,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,2.0,269,36,0.13382899628252787,0.33657956871093775,0.3976147357817292,-0.20275057242840988,0.25,0.03345724907063197,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,2.0,269,36,0.13382899628252787,0.33657956871093775,0.3976147357817292,-0.20275057242840988,0.5,0.06691449814126393,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,2.0,269,36,0.13382899628252787,0.33657956871093775,0.3976147357817292,-0.20275057242840988,0.75,0.10037174721189591,dedicated ping-pong model,1337
alarm_top_5pct,0.5198976908612744,0.05,181.0055865921788,2.0,269,36,0.13382899628252787,0.33657956871093775,0.3976147357817292,-0.20275057242840988,1.0,0.13382899628252787,dedicated ping-pong model,1337
