model,protocol,gate_mode,split,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,note
departmental_q,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.07678654078048486,1.1861069916304683,0.5877542067496004,0.3902569778531251,1.0382751504316674,0.5544785431599037,0.16077170418006428,0.689719391743625,0.0,0.9016779841768922,0.06382978723404255,0.8504639388141115,0.06382978723404255,0.8173199137825956,0.0946969696969697,0.07930367504835589,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.12328276912189387,1.0655153616963684,0.5521621421154131,0.37710743630892685,1.009078962701499,0.50351435583208,0.235640648011782,0.48353611664660173,0.0,0.9016779841768922,0.023809523809523808,0.8529135302173697,0.047619047619047616,0.8188052198510021,0.14285714285714285,0.13445378151260504,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.24147404979113324,1.1606852659960472,0.5801284296555751,0.3453987530590898,0.9191544158465049,0.4106456071508529,0.37567567567567567,0.48353611664660173,0.006666666666666667,0.9016779841768922,0.05333333333333334,0.8504639388141115,0.07333333333333333,0.8188052198510021,0.26804123711340205,0.240234375,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.2909503787103556,1.0521235917000737,0.5478189228189227,0.3313888196177365,0.8886899448906616,0.3425443646442137,0.45605700712589076,0.4304926640777743,0.005050505050505051,0.9016779841768922,0.03535353535353535,0.8557260077308192,0.06060606060606061,0.8205630332170607,0.31336405529953915,0.30592734225621415,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.3991588543339101,1.0715062781739182,0.5564677406895605,0.30236160277628527,0.8217225075867125,0.2466172954400859,0.5679287305122495,0.4304926640777743,0.015209125475285171,0.8948903608028909,0.049429657794676805,0.8504639388141115,0.07604562737642585,0.8196292755612308,0.41916167664670656,0.41005802707930367,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q_ttt,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.06473829201101929,1.0,0.4955817378497791,0.06732927800036154,1.0502720985059997,0.06930230190225961,0.12160413971539456,0.0,0.0,0.4066081060450628,0.0,0.4066081060450628,0.0,0.4066081060450628,0.06473829201101929,0.06473829201101929,their evaluation: TTT filter over the following 1.0s (uses future samples)
departmental_q_ttt,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.11570247933884298,1.0,0.4953271028037383,0.11829346532818523,1.871717739532801,0.1202664892300833,0.2074074074074074,0.0,0.0,0.4066081060450628,0.0,0.4066081060450628,0.0,0.4066081060450628,0.11570247933884298,0.11570247933884298,their evaluation: TTT filter over the following 1.0s (uses future samples)
departmental_q_ttt,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.20804438280166435,1.0,0.4947460595446585,0.21065333679370662,3.3601406168711,0.21264004324693545,0.34443168771526983,0.0,0.0,0.4934719511678445,0.0,0.4066081060450628,0.0,0.4066081060450628,0.20804438280166435,0.20804438280166435,their evaluation: TTT filter over the following 1.0s (uses future samples)
departmental_q_ttt,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.276536312849162,1.0,0.4942084942084942,0.2791634857936626,4.464148003785003,0.28116406589530796,0.43326039387308535,0.0,0.0,0.4934719511678445,0.0,0.4066081060450628,0.0,0.4066081060450628,0.276536312849162,0.276536312849162,their evaluation: TTT filter over the following 1.0s (uses future samples)
departmental_q_ttt,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.37252124645892354,1.0,0.4932279909706546,0.37518563148479106,6.01134019904016,0.3772145484150714,0.542827657378741,0.0,0.0,0.6399730575532391,0.0,0.4066081060450628,0.0,0.4066081060450628,0.37252124645892354,0.37252124645892354,their evaluation: TTT filter over the following 1.0s (uses future samples)
departmental_gate,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.06473829201101929,1.0,0.4955817378497791,0.07300275482093664,1.1766654776913947,0.07300275482093664,0.12160413971539456,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06473829201101929,0.06473829201101929,their gate alone (grid): neighbour >= serving + 3.0 dB
departmental_gate,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.11570247933884298,1.0,0.4953271028037383,0.12396694214876033,1.998111118718196,0.12396694214876033,0.2074074074074074,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11570247933884298,0.11570247933884298,their gate alone (grid): neighbour >= serving + 3.0 dB
departmental_gate,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.20804438280166435,1.0,0.4947460595446585,0.21636615811373092,3.4874105104752555,0.21636615811373092,0.34443168771526983,0.0,0.0,inf,0.0,1.0,0.0,1.0,0.20804438280166435,0.20804438280166435,their gate alone (grid): neighbour >= serving + 3.0 dB
departmental_gate,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.276536312849162,1.0,0.4942084942084942,0.2849162011173184,4.592306653629412,0.28491620111731847,0.43326039387308535,0.0,0.0,inf,0.0,1.0,0.0,1.0,0.276536312849162,0.276536312849162,their gate alone (grid): neighbour >= serving + 3.0 dB
departmental_gate,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.37252124645892354,1.0,0.4932279909706546,0.3810198300283286,6.141314127210976,0.38101983002832857,0.542827657378741,0.0,0.0,inf,0.0,1.0,0.0,1.0,0.37252124645892354,0.37252124645892354,their gate alone (grid): neighbour >= serving + 3.0 dB
reward_only_control,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.09703295306569541,1.4988494452275505,0.6711058189452574,0.10571280991735538,0.48358767416915005,0.16646005509641867,0.17857142857142858,0.35,0.0,1.0,0.0,1.0,0.0,1.0,0.09846827133479212,0.09846827133479212,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.17222840815440774,1.4885455276202382,0.6781263907432131,0.12293044077134986,0.5578336292602444,0.12100550964187322,0.29574861367837335,0.35,0.0,1.0,0.0,1.0,0.0,1.0,0.175054704595186,0.175054704595186,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.28702915894427194,1.3796534906588005,0.6635143023934618,0.16204576976421636,0.8733405882495298,0.061165048543689315,0.4451827242524917,0.35,0.0,inf,0.0,1.0,0.0,1.0,0.29646017699115046,0.29646017699115046,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.3680938779266551,1.3310869525024498,0.6604071604071604,0.19318784916201115,1.1560449040768443,0.06934357541899443,0.5302325581395348,0.35,0.0,inf,0.0,1.0,0.0,1.0,0.3825503355704698,0.3825503355704698,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.4772396508480282,1.2811071996148589,0.661657039370349,0.23965651558073658,1.6184715083150683,0.1673512747875354,0.6228571428571429,0.35,0.0,inf,0.0,1.0,0.0,1.0,0.4988558352402746,0.4988558352402746,"rank by r(s,1) - r(s,0) directly; no Q-learning"
ours_lgbm,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.37990776966213485,5.868362569674678,0.8342681665778837,0.05273354663895615,0.2556456008252929,0.050176253583311486,0.5274725274725275,0.2801314389540379,0.14893617021276595,0.8432871121059397,0.5531914893617021,0.10323779754225106,0.6595744680851063,0.015771261817908836,0.5454545454545454,0.20994475138121546,"same rows, same labels, 107 features"
ours_lgbm,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.7678166695403836,6.636129786741887,0.9085447263017357,0.05137631086447677,0.25717700701674623,0.04651977044731524,0.7234042553191489,0.6646270418374352,0.6071428571428571,0.6646270418374352,0.6904761904761905,0.08701198997582447,0.75,0.029537920578434372,0.9545454545454546,0.40718562874251496,"same rows, same labels, 107 features"
ours_lgbm,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.6571390736598093,3.1586484807248167,0.7975248102743724,0.12632641449150894,0.4644861210683774,0.09639777130150137,0.5705128205128205,0.33729570775255174,0.38,0.8802402985831519,0.46,0.6184022760708305,0.5266666666666666,0.43227689707908307,0.625,0.36363636363636365,"same rows, same labels, 107 features"
ours_lgbm,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.6522872774082511,2.3587762152742817,0.7588822588822589,0.16791545993058327,0.5589432417692481,0.11558676242847099,0.5686746987951807,0.3430078997446971,0.2777777777777778,0.9100886812882081,0.3939393939393939,0.752551684949157,0.47474747474747475,0.5687534048136633,0.6428571428571429,0.3803827751196172,"same rows, same labels, 107 features"
ours_lgbm,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.6066636772066187,1.6285344338702388,0.697250856157035,0.23226849305495906,0.7772170978062717,0.17520855762890475,0.5918003565062389,0.34251901772197807,0.053231939163498096,0.9952722853446967,0.2509505703422053,0.911951703756895,0.38022813688212925,0.7755954472418535,0.6346153846153846,0.43775933609958506,"same rows, same labels, 107 features"
ours_lgbm_5feat,theirs (capture -> capture),grid,10Sept->12Sept,0.5,726,0.06473829201101929,0.2055765111495462,3.175501002012139,0.7198320433679065,0.07876789550115638,0.3109396429041142,0.07143067653540854,0.2838709677419355,0.16304301247226763,0.10638297872340426,0.9109650798916499,0.23404255319148937,0.541836057789139,0.3404255319148936,0.24547287412128874,0.14457831325301204,0.09004739336492891,"our learner on their 5-D state, to separate method from features"
ours_lgbm_5feat,theirs (capture -> capture),grid,10Sept->12Sept,1.0,726,0.11570247933884298,0.40933813110846484,3.5378509902945887,0.7440198041833557,0.10426356425392411,0.38750046378097974,0.08463232427083964,0.3884892086330935,0.6168345524099849,0.17857142857142858,0.9177461562157347,0.32142857142857145,0.6168345524099849,0.40476190476190477,0.4051471820123909,0.30201342281879195,0.16790123456790124,"our learner on their 5-D state, to separate method from features"
ours_lgbm_5feat,theirs (capture -> capture),grid,10Sept->12Sept,2.0,721,0.20804438280166435,0.5040018047042623,2.4225686746118207,0.74241097489784,0.1582848074981886,0.4948820573380347,0.1174546774875559,0.47840531561461797,0.4942144337989084,0.18,0.8549234696294272,0.2866666666666667,0.7015407994935502,0.3933333333333333,0.5895953380016007,0.423728813559322,0.32085561497326204,"our learner on their 5-D state, to separate method from features"
ours_lgbm_5feat,theirs (capture -> capture),grid,10Sept->12Sept,3.0,716,0.276536312849162,0.5406808624665451,1.9551893814446781,0.7443791193791194,0.1801847950443617,0.5449719082483012,0.09265346336205886,0.5441441441441441,0.2394363973507292,0.09595959595959595,0.9079411880277996,0.24242424242424243,0.728005969259691,0.3282828282828283,0.6481353024288544,0.5380434782608695,0.3935643564356436,"our learner on their 5-D state, to separate method from features"
ours_lgbm_5feat,theirs (capture -> capture),grid,10Sept->12Sept,5.0,706,0.37252124645892354,0.6309599581180279,1.6937556290164548,0.7263215717240729,0.20789970286354884,0.6149814079302307,0.09144373502712481,0.630057803468208,0.2758251161323326,0.1444866920152091,0.879086196879888,0.22433460076045628,0.7902535122792267,0.3269961977186312,0.715280933671932,0.5872340425531914,0.5084337349397591,"our learner on their 5-D state, to separate method from features"
departmental_q,theirs (capture -> capture),grid,13Sept->12Sept,0.5,726,0.06473829201101929,0.1103632348599757,1.704759755496646,0.6584307335568577,0.42822130198255176,1.1896933602012203,0.5921362750026614,0.19318181818181818,0.6918532095019667,0.0425531914893617,0.9758915741441365,0.0851063829787234,0.9145486690684773,0.14893617021276595,0.8815554220797942,0.11363636363636363,0.09359605911330049,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,13Sept->12Sept,1.0,726,0.11570247933884298,0.1521618488674813,1.3151131223546597,0.6090806260198783,0.41001869230077936,1.1472673150672352,0.5411720876748377,0.2582278481012658,0.6911521793811216,0.023809523809523808,0.9758915741441365,0.047619047619047616,0.9155913455955784,0.11904761904761904,0.8815554220797942,0.17063492063492064,0.13682092555331993,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,13Sept->12Sept,2.0,721,0.20804438280166435,0.28683338183732865,1.3787124553647598,0.657098657326328,0.36441515090964327,1.0199086446445775,0.4483204600249594,0.4289044289044289,0.7056487899047705,0.02,0.9758915741441365,0.04666666666666667,0.917857463536657,0.13333333333333333,0.8796591788763723,0.34,0.27313769751693,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,13Sept->12Sept,3.0,716,0.276536312849162,0.3638535698380195,1.315753313151626,0.643047268047268,0.33885109787430445,0.9407548335773465,0.37878121427546185,0.49190938511326865,0.6202702449401157,0.020202020202020204,0.9758915741441365,0.045454545454545456,0.917857463536657,0.11616161616161616,0.8796591788763723,0.42857142857142855,0.34868421052631576,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
departmental_q,theirs (capture -> capture),grid,13Sept->12Sept,5.0,706,0.37252124645892354,0.44532053515112086,1.1954231856147959,0.6062879262546241,0.31297523794815524,0.87526445226713,0.2832320289209405,0.5604519774011298,0.4767144846500472,0.019011406844106463,0.9758915741441365,0.045627376425855515,0.9155913455955784,0.09885931558935361,0.8815554220797942,0.49070631970260226,0.40458015267175573,"Q(s,1)-Q(s,0), 1-NN lookup, no TTT filter"
