experiment,adaptation,source,target,matched,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
regime,none,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,1.0,57,0.17543859649122806,0.5680620278414396,3.237953558696206,0.6851063829787233,0.11030945210591425,0.5643941669863994,0.12818802100484358,0.7058823529411764,0.8305952160095683,0.1,0.9938329394258865,0.6,0.8305952160095683,0.6,0.8305952160095683,0.8571428571428571,0.19607843137254902
regime,none,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,2.0,55,0.2545454545454545,0.4834818019717208,1.8993927934603319,0.6794425087108014,0.18416801951023484,0.60503546644725,0.22883819218360402,0.5405405405405405,0.20940676100273864,0.0,inf,0.35714285714285715,0.8054089903886014,0.35714285714285715,0.8054089903886014,0.43478260869565216,0.3333333333333333
regime,none,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,3.0,54,0.3148148148148148,0.6102817153346931,1.9385419192984368,0.643879173290938,0.20847868067107556,0.7510025273841759,0.1961115261005593,0.5714285714285715,0.4070764443253448,0.29411764705882354,0.8475842653978805,0.29411764705882354,0.8475842653978805,0.29411764705882354,0.8475842653978805,0.6,0.32
regime,none,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,5.0,53,0.4716981132075472,0.6404619439777292,1.3577793212327858,0.5700000000000001,0.2774923376991423,0.8746094611611981,0.2170679641595275,0.641025641025641,0.009377673304533693,0.2,0.7785557734282721,0.2,0.7785557734282721,0.2,0.7785557734282721,0.6153846153846154,0.4716981132075472
regime,none,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,1.0,591,0.13705583756345177,0.8242067103396963,6.013656368034081,0.8893246187363835,0.04924045549102031,0.21217719593376955,0.037996875725273334,0.8142857142857142,0.800443313902284,0.7160493827160493,0.7479662598038158,0.7777777777777778,0.31790710450651916,0.8148148148148148,0.18486754847291473,0.9807692307692307,0.6372549019607843
regime,none,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,2.0,587,0.25383304940374785,0.5707985158038408,2.2487163005158024,0.7243878520425362,0.16463785289369526,0.5529630567340533,0.10046855866261062,0.5416666666666666,0.2948367748325341,0.18120805369127516,0.8722107881068405,0.33557046979865773,0.7079863747403948,0.4429530201342282,0.5630606047035956,0.5514705882352942,0.31413612565445026
regime,none,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,3.0,582,0.3436426116838488,0.6300080640500757,1.8333234663857203,0.6990706806282723,0.20169745218356155,0.673412074720422,0.11336693314615992,0.5871121718377088,0.23569370458835476,0.195,0.8122416301169154,0.325,0.6327962054787697,0.4,0.4853911686206458,0.6375,0.39408866995073893
regime,none,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,5.0,579,0.46113989637305697,0.6696237211517564,1.4521053728347078,0.6680711610486892,0.24708760654009082,0.7639761179535488,0.13974875902763761,0.640625,0.1824594087856889,0.13108614232209737,0.8724800970492158,0.2247191011235955,0.7708019046433742,0.3333333333333333,0.6238083840752412,0.6442307692307693,0.528395061728395
regime,per_drive_z,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,1.0,57,0.17543859649122806,0.4031257601191258,2.2978168326790174,0.6744680851063829,0.16228968598380236,0.5671287527776543,0.15971577813640891,0.4,0.09214578652811999,0.1,0.9632897265638126,0.2,0.9148096952316208,0.3,0.5905929803947588,0.3,0.23684210526315788
regime,per_drive_z,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,2.0,55,0.2545454545454545,0.40040751066467,1.5730295061826323,0.5592334494773519,0.23566095556576036,0.7855199939995183,0.2625210015530238,0.5,0.6735782496969651,0.0,inf,0.21428571428571427,0.7914164017338237,0.42857142857142855,0.6735782496969651,0.2916666666666667,0.2692307692307692
regime,per_drive_z,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,3.0,54,0.3148148148148148,0.4248951395057696,1.3496669137242094,0.5373608903020668,0.2825105478373839,0.8635317429433718,0.3146103544646412,0.5,0.41001647720096845,0.058823529411764705,0.970830317612385,0.11764705882352941,0.9213078046457827,0.17647058823529413,0.7743764162716352,0.4074074074074074,0.3333333333333333
regime,per_drive_z,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,5.0,53,0.4716981132075472,0.5666675238016012,1.2013351504593945,0.5814285714285714,0.31106470641466183,0.8898431101261036,0.2716886941266449,0.6666666666666666,0.3202019907285126,0.04,0.9570352110941324,0.04,0.9570352110941324,0.12,0.921498568071332,0.5909090909090909,0.525
regime,per_drive_z,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,1.0,591,0.13705583756345177,0.45467956531593057,3.3174768284162344,0.7414185427257322,0.10968400173560394,0.38358597566612873,0.09336813722258007,0.47682119205298007,0.4971261371724659,0.18518518518518517,0.8718753206583812,0.3950617283950617,0.5800995416444396,0.49382716049382713,0.3976858723409352,0.37719298245614036,0.19519519519519518
regime,per_drive_z,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,2.0,587,0.25383304940374785,0.4384803504114305,1.7274360113524143,0.6318225000766142,0.20988463411649222,0.6508627998907625,0.16711048040317614,0.430379746835443,0.44554142635206156,0.08053691275167785,0.9467769272578563,0.21476510067114093,0.7936854922014512,0.3087248322147651,0.6856658816411969,0.3694581280788177,0.27682403433476394
regime,per_drive_z,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,3.0,582,0.3436426116838488,0.5036671553006014,1.46567142192475,0.6009947643979058,0.24906174313036353,0.7345088015699605,0.1862445775351366,0.5266187050359712,0.07525454945095823,0.11,0.9089785816174165,0.195,0.7957490487340304,0.265,0.6904773057590773,0.42168674698795183,0.37528604118993136
regime,per_drive_z,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,5.0,579,0.46113989637305697,0.4607182119520642,0.999085560749982,0.48489868433688654,0.3423471825935897,0.9759388154043331,0.2784007027845129,0.6364719904648392,0.03862713981823514,0.018726591760299626,0.9715080668941617,0.056179775280898875,0.9398715999524127,0.09363295880149813,0.9203691874191189,0.46819787985865724,0.46819787985865724
regime,coral,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,1.0,57,0.17543859649122806,0.5123526030385785,2.9204098373198977,0.7276595744680852,0.11901498391445318,0.6531001732734186,0.13957353672316752,0.6666666666666665,0.8435658299196958,0.1,0.9960237363764167,0.6,0.8435658299196958,0.6,0.8435658299196958,0.75,0.23809523809523808
regime,coral,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,2.0,55,0.2545454545454545,0.4481472633646546,1.7605785346468577,0.6567944250871081,0.19013950909862096,0.70537412199054,0.1703343855964155,0.5517241379310344,0.2286113976797125,0.0,inf,0.21428571428571427,0.8353234211372549,0.42857142857142855,0.4559857442004055,0.5833333333333334,0.2826086956521739
regime,coral,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,3.0,54,0.3148148148148148,0.6791074121956475,2.1571647210920566,0.7456279809220986,0.17422175148400432,0.6015201878354512,0.16061398515315362,0.6153846153846153,0.5335183389510355,0.17647058823529413,0.9243458276458704,0.47058823529411764,0.5335183389510355,0.47058823529411764,0.5335183389510355,0.6923076923076923,0.4375
regime,coral,A3+1dB/TTT320ms,A3+1dB/TTT320ms,True,5.0,53,0.4716981132075472,0.6409940942963398,1.3589074799082403,0.5871428571428571,0.2926910540881879,0.8993913758188273,0.26569881408986545,0.6493506493506493,0.015246672306451983,0.16,0.7993755638320449,0.24,0.6869208434849902,0.24,0.6869208434849902,0.5333333333333333,0.5
regime,coral,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,1.0,591,0.13705583756345177,0.39442533542330394,2.877844114014477,0.8095376422173809,0.17644276592678054,0.7052070390833486,0.17978684823446173,0.5043478260869565,0.6645298674665061,0.04938271604938271,0.9983596108386479,0.1728395061728395,0.988691265512512,0.4691358024691358,0.9388214820152648,0.41509433962264153,0.3283582089552239
regime,coral,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,2.0,587,0.25383304940374785,0.4416968083742708,1.7401075605080334,0.7024608501118569,0.207702377276009,0.6859327415635332,0.1537925882467824,0.5092838196286471,0.31427213662555054,0.040268456375838924,0.9849963978839805,0.174496644295302,0.9162945222497,0.2953020134228188,0.8017857939519258,0.47560975609756095,0.3488372093023256
regime,coral,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,3.0,582,0.3436426116838488,0.5307823171959437,1.544576543040196,0.6796727748691099,0.23989626679705867,0.7601160122589339,0.17594892626886996,0.5646123260437375,0.22959826399711694,0.045,0.9804735348801076,0.185,0.9051190291171197,0.27,0.8201669453779625,0.5074626865671642,0.42480211081794195
regime,coral,A3+1dB/TTT320ms,A3-10dB/TTT640ms,False,5.0,579,0.46113989637305697,0.5984242045744155,1.297706421155755,0.6048088927302411,0.27846016219299896,0.8266093256961332,0.17599723086002744,0.6312056737588653,0.010210967849354555,0.0599250936329588,0.954060506588295,0.15355805243445692,0.8840313629925572,0.24344569288389514,0.8003099712907629,0.5742971887550201,0.481981981981982
regime,none,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,1.0,57,0.17543859649122806,0.73883547008547,4.211362179487179,0.8404255319148937,0.12344845338698801,0.5662749847386988,0.13786724996017607,0.7499999999999999,0.9965909867003049,0.6,0.9965909867003049,0.6,0.9965909867003049,0.6,0.9965909867003049,1.0,0.4444444444444444
regime,none,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,2.0,55,0.2545454545454545,0.6164192104499319,2.421646898196161,0.7264808362369337,0.23085056132782608,0.9485566004267688,0.2492167077715229,0.5454545454545454,0.9674476349721826,0.35714285714285715,0.9940594385759162,0.42857142857142855,0.9674476349721826,0.42857142857142855,0.9674476349721826,0.42105263157894735,0.35135135135135137
regime,none,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,3.0,54,0.3148148148148148,0.5402836181273388,1.716195022286841,0.6661367249602543,0.3121925617435766,1.1092457549745802,0.32030592322604906,0.5882352941176471,0.04764395345714849,0.11764705882352941,0.9953980989499054,0.11764705882352941,0.9953980989499054,0.35294117647058826,0.9785572885361906,0.4411764705882353,0.4411764705882353
regime,none,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,5.0,53,0.4716981132075472,0.6887521881929678,1.4601546389690918,0.7400000000000001,0.24130261584967852,0.8850410364069446,0.26043613321120496,0.7407407407407408,0.2181284577950945,0.04,0.9991358470161554,0.12,0.9922808045797433,0.28,0.9589182680744028,0.7222222222222222,0.6896551724137931
regime,none,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,1.0,591,0.13705583756345177,0.8862957253812662,6.466676218522572,0.9521423384168483,0.0373952377170213,0.18237648851183855,0.039264043600374374,0.8571428571428572,0.91111737874804,0.7777777777777778,0.91111737874804,0.8271604938271605,0.07812831479501388,0.8641975308641975,0.02067428247035814,1.0,0.7558139534883721
regime,none,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,2.0,587,0.25383304940374785,0.7295055304840478,2.8739580294908462,0.8304679599154178,0.13614656426732583,0.5366614919188814,0.10600117949941644,0.636986301369863,0.26224071406239297,0.40939597315436244,0.9553053465283708,0.48322147651006714,0.6604991496171659,0.5771812080536913,0.3892375913212044,0.7524752475247525,0.4621212121212121
regime,none,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,3.0,582,0.3436426116838488,0.7392573195319678,2.1512387998380262,0.7966230366492146,0.17834076926606449,0.6197168252836625,0.1321958914435812,0.6417582417582417,0.11889785126059799,0.275,0.9429563494199019,0.425,0.7716226382308029,0.55,0.4969803902083997,0.7727272727272727,0.5047318611987381
regime,none,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,5.0,579,0.46113989637305697,0.7684879507829522,1.6664963427090986,0.7615840775953135,0.22392525325891893,0.7486576802112275,0.17429219431142087,0.6926677067082684,0.10709164318653101,0.19850187265917604,0.9768610762630854,0.3445692883895131,0.9204281598709428,0.45692883895131087,0.824703233822613,0.7976190476190477,0.5961538461538461
regime,per_drive_z,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,1.0,57,0.17543859649122806,0.5342079098846017,3.0449850863422294,0.6574468085106384,0.1289228259226207,0.9322519920148283,0.13944147059204412,0.588235294117647,0.2563463781649981,0.2,0.9987434820878445,0.5,0.2563463781649981,0.5,0.2563463781649981,0.7142857142857143,0.19047619047619047
regime,per_drive_z,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,2.0,55,0.2545454545454545,0.3928087396574791,1.543177191511525,0.5818815331010453,0.24256108459654993,1.1320952626357506,0.27624743514487077,0.4878048780487805,0.016250284202667532,0.0,inf,0.21428571428571427,0.9757120663970333,0.21428571428571427,0.9757120663970333,0.37037037037037035,0.25925925925925924
regime,per_drive_z,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,3.0,54,0.3148148148148148,0.39566292883195675,1.256811656289745,0.5166931637519873,0.2749010860667616,1.2082378001528435,0.29265922745700557,0.4857142857142857,0.002157766767968795,0.0,inf,0.058823529411764705,0.9911188176407548,0.23529411764705882,0.8946382607470864,0.42857142857142855,0.32075471698113206
regime,per_drive_z,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,5.0,53,0.4716981132075472,0.6005741525469517,1.2732172033995375,0.6742857142857143,0.2688309070932481,1.0041400062504116,0.25812167272383674,0.7037037037037037,0.24871316888045858,0.0,inf,0.04,0.9974028363674715,0.16,0.9772162630803785,0.68,0.5882352941176471
regime,per_drive_z,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,1.0,591,0.13705583756345177,0.8559506571318323,6.245269609443369,0.9179375453885258,0.036133211628745145,0.22659762958519486,0.03523603673254337,0.8571428571428572,0.8236342869764349,0.7777777777777778,0.8236342869764349,0.8024691358024691,0.17756869430600725,0.8148148148148148,0.016229591346396642,1.0,0.8333333333333334
regime,per_drive_z,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,2.0,587,0.25383304940374785,0.7414861627594939,2.9211568962404226,0.8314792681805646,0.12764103787127482,0.502703673777511,0.10180023796894963,0.6390041493775933,0.5182226693185887,0.42953020134228187,0.8462534058118976,0.5234899328859061,0.4340346377289293,0.5838926174496645,0.27784912668407313,0.8369565217391305,0.4626865671641791
regime,per_drive_z,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,3.0,582,0.3436426116838488,0.728709409117539,2.1205443805320385,0.7888481675392669,0.18053466889061512,0.6024368669186279,0.12253179529680251,0.6334056399132321,0.15353821507006454,0.33,0.8615036660904268,0.385,0.7300223305807378,0.485,0.5384516364535608,0.704225352112676,0.5144694533762058
regime,per_drive_z,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,5.0,579,0.46113989637305697,0.7567595456032866,1.6410628348475766,0.7687145875348123,0.21696604863672742,0.6885869380515044,0.15178931335990772,0.7008264462809917,0.23886920472522757,0.1647940074906367,0.9703713008260826,0.31835205992509363,0.8956139258692547,0.40074906367041196,0.829979837736296,0.7362637362637363,0.6078431372549019
regime,coral,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,1.0,57,0.17543859649122806,0.3809634483163895,2.1714916554034205,0.7319148936170212,0.20914718294867085,0.9442795868554965,0.21517565585182996,0.4666666666666667,0.0063127203527972775,0.1,0.999671978897084,0.1,0.999671978897084,0.1,0.999671978897084,0.38461538461538464,0.2857142857142857
regime,coral,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,2.0,55,0.2545454545454545,0.32033929486680457,1.2584758012624466,0.5592334494773519,0.27940920049366175,1.2117065008113312,0.28965634816169356,0.4363636363636364,0.003296180566613838,0.0,inf,0.07142857142857142,0.9876691822146053,0.07142857142857142,0.9876691822146053,0.35,0.2926829268292683
regime,coral,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,3.0,54,0.3148148148148148,0.4147039521514312,1.317294906833958,0.5659777424483307,0.2730948892219891,1.0823243745649835,0.2769252039005614,0.48780487804878053,0.12926615766770166,0.0,inf,0.058823529411764705,0.9846501512754033,0.23529411764705882,0.8230939978616386,0.45,0.3148148148148148
regime,coral,A3-10dB/TTT640ms,A3+1dB/TTT320ms,False,5.0,53,0.4716981132075472,0.6636263996920617,1.4068879673471708,0.6771428571428572,0.2701483546532691,0.9050303034145133,0.2670151959362038,0.6938775510204083,0.3175528002864624,0.08,0.9912108434858133,0.12,0.9730577042231403,0.28,0.8898443128453609,0.7083333333333334,0.5555555555555556
regime,coral,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,1.0,591,0.13705583756345177,0.6015553877012174,4.389126347301476,0.873033163882837,0.11314465528072508,0.4291850962475505,0.10684450277877224,0.5395348837209302,0.0617190399716299,0.3333333333333333,0.9838615749490999,0.37037037037037035,0.833449620906976,0.5061728395061729,0.2560432913172604,0.4642857142857143,0.37790697674418605
regime,coral,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,2.0,587,0.25383304940374785,0.5547665578537311,2.1855568420143636,0.7677974931813305,0.18212427669221942,0.6519590191221191,0.14060046063373316,0.5700483091787439,0.07337861503969077,0.1610738255033557,0.9806241712294936,0.24161073825503357,0.8637087009006316,0.37583892617449666,0.6680870581587517,0.5033112582781457,0.4195804195804196
regime,coral,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,3.0,582,0.3436426116838488,0.6558607924808466,1.9085549061192637,0.76467277486911,0.19541948561535025,0.6639128096240501,0.13462716698158092,0.6323185011709601,0.33021159167676584,0.105,0.9840216998464525,0.305,0.8620482123079045,0.46,0.6842880729067647,0.6944444444444444,0.4822485207100592
regime,coral,A3-10dB/TTT640ms,A3-10dB/TTT640ms,True,5.0,579,0.46113989637305697,0.7165478261071883,1.553862139760532,0.7396883703063478,0.22859572233883124,0.7480600060953384,0.15829789639637482,0.6760070052539404,0.3751923215697518,0.09737827715355805,0.9841801225012544,0.2808988764044944,0.9440559468922649,0.45318352059925093,0.8233886452298017,0.783625730994152,0.5677749360613811
